"name","region","date","value"
"deaths","ON","2020-03-01",0
"deaths","ON","2020-03-02",0
"deaths","ON","2020-03-03",0
"deaths","ON","2020-03-04",0
"deaths","ON","2020-03-05",0
"deaths","ON","2020-03-06",0
"deaths","ON","2020-03-07",0
"deaths","ON","2020-03-08",0
"deaths","ON","2020-03-09",0
"deaths","ON","2020-03-10",0
"deaths","ON","2020-03-11",1
"deaths","ON","2020-03-12",1
"deaths","ON","2020-03-13",1
"deaths","ON","2020-03-14",1
"deaths","ON","2020-03-15",1
"deaths","ON","2020-03-16",1
"deaths","ON","2020-03-17",1
"deaths","ON","2020-03-18",1
"deaths","ON","2020-03-19",1
"deaths","ON","2020-03-20",1
"deaths","ON","2020-03-21",2
"deaths","ON","2020-03-22",4
"deaths","ON","2020-03-23",6
"deaths","ON","2020-03-24",11
"deaths","ON","2020-03-25",14
"deaths","ON","2020-03-26",17
"deaths","ON","2020-03-27",21
"deaths","ON","2020-03-28",29
"deaths","ON","2020-03-29",44
"deaths","ON","2020-03-30",63
"deaths","ON","2020-03-31",78
"deaths","ON","2020-04-01",95
"deaths","ON","2020-04-02",125
"deaths","ON","2020-04-03",146
"deaths","ON","2020-04-04",176
"deaths","ON","2020-04-05",204
"deaths","ON","2020-04-06",234
"deaths","ON","2020-04-07",269
"deaths","ON","2020-04-08",307
"deaths","ON","2020-04-09",349
"deaths","ON","2020-04-10",386
"deaths","ON","2020-04-11",430
"deaths","ON","2020-04-12",476
"deaths","ON","2020-04-13",526
"deaths","ON","2020-04-14",572
"deaths","ON","2020-04-15",633
"deaths","ON","2020-04-16",688
"deaths","ON","2020-04-17",742
"deaths","ON","2020-04-18",799
"deaths","ON","2020-04-19",886
"deaths","ON","2020-04-20",943
"deaths","ON","2020-04-21",1008
"deaths","ON","2020-04-22",1077
"deaths","ON","2020-04-23",1136
"deaths","ON","2020-04-24",1198
"deaths","ON","2020-04-25",1266
"deaths","ON","2020-04-26",1331
"deaths","ON","2020-04-27",1399
"deaths","ON","2020-04-28",1447
"deaths","ON","2020-04-29",1515
"deaths","ON","2020-04-30",1578
"deaths","ON","2020-05-01",1643
"deaths","ON","2020-05-02",1695
"deaths","ON","2020-05-03",1766
"deaths","ON","2020-05-04",1813
"deaths","ON","2020-05-05",1854
"deaths","ON","2020-05-06",1897
"deaths","ON","2020-05-07",1941
"deaths","ON","2020-05-08",1981
"deaths","ON","2020-05-09",2021
"deaths","ON","2020-05-10",2062
"deaths","ON","2020-05-11",2100
"deaths","ON","2020-05-12",2135
"deaths","ON","2020-05-13",2164
"deaths","ON","2020-05-14",2190
"deaths","ON","2020-05-15",2222
"deaths","ON","2020-05-16",2253
"deaths","ON","2020-05-17",2279
"deaths","ON","2020-05-18",2305
"deaths","ON","2020-05-19",2331
"deaths","ON","2020-05-20",2350
"deaths","ON","2020-05-21",2376
"deaths","ON","2020-05-22",2396
"deaths","ON","2020-05-23",2421
"deaths","ON","2020-05-24",2446
"deaths","ON","2020-05-25",2476
"deaths","ON","2020-05-26",2515
"deaths","ON","2020-05-27",2542
"deaths","ON","2020-05-28",2561
"deaths","ON","2020-05-29",2586
"deaths","ON","2020-05-30",2605
"deaths","ON","2020-05-31",2615
"deaths","ON","2020-06-01",2627
"deaths","ON","2020-06-02",2637
"deaths","ON","2020-06-03",2653
"deaths","ON","2020-06-04",2671
"deaths","ON","2020-06-05",2688
"deaths","ON","2020-06-06",2697
"deaths","ON","2020-06-07",2706
"deaths","ON","2020-06-08",2713
"deaths","ON","2020-06-09",2728
"deaths","ON","2020-06-10",2733
"deaths","ON","2020-06-11",2739
"deaths","ON","2020-06-12",2745
"deaths","ON","2020-06-13",2756
"deaths","ON","2020-06-14",2766
"deaths","ON","2020-06-15",2773
"deaths","ON","2020-06-16",2777
"deaths","ON","2020-06-17",2780
"deaths","ON","2020-06-18",2785
"deaths","ON","2020-06-19",2789
"deaths","ON","2020-06-20",2794
"deaths","ON","2020-06-21",2798
"deaths","ON","2020-06-22",2805
"deaths","ON","2020-06-23",2813
"deaths","ON","2020-06-24",2819
"deaths","ON","2020-06-25",2822
"deaths","ON","2020-06-26",2826
"deaths","ON","2020-06-27",2829
"deaths","ON","2020-06-28",2833
"deaths","ON","2020-06-29",2838
"deaths","ON","2020-06-30",2839
"deaths","ON","2020-07-01",2841
"deaths","ON","2020-07-02",2843
"deaths","ON","2020-07-03",2846
"deaths","ON","2020-07-04",2847
"deaths","ON","2020-07-05",2848
"deaths","ON","2020-07-06",2855
"deaths","ON","2020-07-07",2860
"deaths","ON","2020-07-08",2863
"deaths","ON","2020-07-09",2865
"deaths","ON","2020-07-10",2870
"deaths","ON","2020-07-11",2873
"deaths","ON","2020-07-12",2874
"deaths","ON","2020-07-13",2878
"deaths","ON","2020-07-14",2880
"deaths","ON","2020-07-15",2884
"deaths","ON","2020-07-16",2887
"deaths","ON","2020-07-17",2890
"deaths","ON","2020-07-18",2893
"deaths","ON","2020-07-19",2894
"deaths","ON","2020-07-20",2895
"deaths","ON","2020-07-21",2896
"deaths","ON","2020-07-22",2897
"deaths","ON","2020-07-23",2898
"deaths","ON","2020-07-24",2900
"deaths","ON","2020-07-25",2902
"deaths","ON","2020-07-26",2905
"deaths","ON","2020-07-27",2906
"deaths","ON","2020-07-28",2908
"deaths","ON","2020-07-29",2909
"deaths","ON","2020-07-30",2911
"deaths","ON","2020-07-31",2911
"deaths","ON","2020-08-01",2914
"deaths","ON","2020-08-02",2915
"deaths","ON","2020-08-03",2915
"deaths","ON","2020-08-04",2915
"deaths","ON","2020-08-05",2916
"deaths","ON","2020-08-06",2919
"deaths","ON","2020-08-07",2920
"deaths","ON","2020-08-08",2920
"deaths","ON","2020-08-09",2920
"deaths","ON","2020-08-10",2921
"deaths","ON","2020-08-11",2922
"deaths","ON","2020-08-12",2922
"deaths","ON","2020-08-13",2923
"deaths","ON","2020-08-14",2923
"deaths","ON","2020-08-15",2924
"deaths","ON","2020-08-16",2925
"deaths","ON","2020-08-17",2926
"deaths","ON","2020-08-18",2929
"deaths","ON","2020-08-19",2930
"deaths","ON","2020-08-20",2932
"deaths","ON","2020-08-21",2932
"deaths","ON","2020-08-22",2932
"deaths","ON","2020-08-23",2933
"deaths","ON","2020-08-24",2933
"deaths","ON","2020-08-25",2933
"deaths","ON","2020-08-26",2933
"deaths","ON","2020-08-27",2934
"deaths","ON","2020-08-28",2934
"deaths","ON","2020-08-29",2934
"deaths","ON","2020-08-30",2935
"deaths","ON","2020-08-31",2935
"deaths","ON","2020-09-01",2937
"deaths","ON","2020-09-02",2937
"deaths","ON","2020-09-03",2938
"deaths","ON","2020-09-04",2938
"deaths","ON","2020-09-05",2939
"deaths","ON","2020-09-06",2939
"deaths","ON","2020-09-07",2941
"deaths","ON","2020-09-08",2941
"deaths","ON","2020-09-09",2942
"deaths","ON","2020-09-10",2943
"deaths","ON","2020-09-11",2944
"deaths","ON","2020-09-12",2946
"deaths","ON","2020-09-13",2948
"deaths","ON","2020-09-14",2950
"deaths","ON","2020-09-15",2951
"deaths","ON","2020-09-16",2952
"deaths","ON","2020-09-17",2959
"deaths","ON","2020-09-18",2960
"deaths","ON","2020-09-19",2962
"deaths","ON","2020-09-20",2963
"deaths","ON","2020-09-21",2963
"deaths","ON","2020-09-22",2965
"deaths","ON","2020-09-23",2966
"deaths","ON","2020-09-24",2970
"deaths","ON","2020-09-25",2973
"deaths","ON","2020-09-26",2977
"deaths","ON","2020-09-27",2979
"deaths","ON","2020-09-28",2981
"deaths","ON","2020-09-29",2986
"deaths","ON","2020-09-30",2987
"deaths","ON","2020-10-01",2993
"deaths","ON","2020-10-02",2995
"deaths","ON","2020-10-03",3002
"deaths","ON","2020-10-04",3007
"deaths","ON","2020-10-05",3007
"deaths","ON","2020-10-06",3011
"deaths","ON","2020-10-07",3015
"deaths","ON","2020-10-08",3022
"deaths","ON","2020-10-09",3029
"deaths","ON","2020-10-10",3037
"deaths","ON","2020-10-11",3039
"deaths","ON","2020-10-12",3043
"deaths","ON","2020-10-13",3050
"deaths","ON","2020-10-14",3057
"deaths","ON","2020-10-15",3064
"deaths","ON","2020-10-16",3071
"deaths","ON","2020-10-17",3077
"deaths","ON","2020-10-18",3086
"deaths","ON","2020-10-19",3094
"deaths","ON","2020-10-20",3099
"deaths","ON","2020-10-21",3109
"deaths","ON","2020-10-22",3116
"deaths","ON","2020-10-23",3123
"deaths","ON","2020-10-24",3136
"deaths","ON","2020-10-25",3140
"deaths","ON","2020-10-26",3148
"deaths","ON","2020-10-27",3154
"deaths","ON","2020-10-28",3171
"deaths","ON","2020-10-29",3183
"deaths","ON","2020-10-30",3195
"deaths","ON","2020-10-31",3203
"deaths","ON","2020-11-01",3214
"deaths","ON","2020-11-02",3231
"deaths","ON","2020-11-03",3248
"deaths","ON","2020-11-04",3262
"deaths","ON","2020-11-05",3269
"deaths","ON","2020-11-06",3285
"deaths","ON","2020-11-07",3307
"deaths","ON","2020-11-08",3322
"deaths","ON","2020-11-09",3341
"deaths","ON","2020-11-10",3367
"deaths","ON","2020-11-11",3387
"deaths","ON","2020-11-12",3399
"deaths","ON","2020-11-13",3424
"deaths","ON","2020-11-14",3444
"deaths","ON","2020-11-15",3459
"deaths","ON","2020-11-16",3479
"deaths","ON","2020-11-17",3494
"deaths","ON","2020-11-18",3507
"deaths","ON","2020-11-19",3527
"deaths","ON","2020-11-20",3546
"deaths","ON","2020-11-21",3564
"deaths","ON","2020-11-22",3582
"deaths","ON","2020-11-23",3605
"deaths","ON","2020-11-24",3621
"deaths","ON","2020-11-25",3646
"deaths","ON","2020-11-26",3662
"deaths","ON","2020-11-27",3682
"deaths","ON","2020-11-28",3702
"deaths","ON","2020-11-29",3720
"deaths","ON","2020-11-30",3742
"deaths","ON","2020-12-01",3769
"deaths","ON","2020-12-02",3796
"deaths","ON","2020-12-03",3813
"deaths","ON","2020-12-04",3834
"deaths","ON","2020-12-05",3857
"deaths","ON","2020-12-06",3883
"deaths","ON","2020-12-07",3902
"deaths","ON","2020-12-08",3936
"deaths","ON","2020-12-09",3968
"deaths","ON","2020-12-10",3989
"deaths","ON","2020-12-11",4012
"deaths","ON","2020-12-12",4054
"deaths","ON","2020-12-13",4082
"deaths","ON","2020-12-14",4113
"deaths","ON","2020-12-15",4151
"deaths","ON","2020-12-16",4177
"deaths","ON","2020-12-17",4212
"deaths","ON","2020-12-18",4254
"deaths","ON","2020-12-19",4291
"deaths","ON","2020-12-20",4327
"deaths","ON","2020-12-21",4363
"deaths","ON","2020-12-22",4409
"deaths","ON","2020-12-23",4450
"deaths","ON","2020-12-24",4498
"deaths","ON","2020-12-25",4530
"deaths","ON","2020-12-26",4574
"deaths","ON","2020-12-27",4618
"deaths","ON","2020-12-28",4654
"deaths","ON","2020-12-29",4704
"deaths","ON","2020-12-30",4750
"deaths","ON","2020-12-31",4804
"deaths","ON","2021-01-01",4857
"deaths","ON","2021-01-02",4899
"deaths","ON","2021-01-03",4948
"deaths","ON","2021-01-04",5006
"deaths","ON","2021-01-05",5057
"deaths","ON","2021-01-06",5108
"deaths","ON","2021-01-07",5158
"deaths","ON","2021-01-08",5205
"deaths","ON","2021-01-09",5270
"deaths","ON","2021-01-10",5321
"deaths","ON","2021-01-11",5373
"deaths","ON","2021-01-12",5417
"deaths","ON","2021-01-13",5472
"deaths","ON","2021-01-14",5518
"deaths","ON","2021-01-15",5570
"deaths","ON","2021-01-16",5638
"deaths","ON","2021-01-17",5717
"deaths","ON","2021-01-18",5774
"deaths","ON","2021-01-19",5839
"deaths","ON","2021-01-20",5893
"deaths","ON","2021-01-21",5958
"deaths","ON","2021-01-22",6013
"deaths","ON","2021-01-23",6070
"deaths","ON","2021-01-24",6121
"deaths","ON","2021-01-25",6175
"deaths","ON","2021-01-26",6239
"deaths","ON","2021-01-27",6286
"deaths","ON","2021-01-28",6334
"deaths","ON","2021-01-29",6387
"deaths","ON","2021-01-30",6443
"deaths","ON","2021-01-31",6485
"deaths","ON","2021-02-01",6526
"deaths","ON","2021-02-02",6575
"deaths","ON","2021-02-03",6609
"deaths","ON","2021-02-04",6649
"deaths","ON","2021-02-05",6674
"deaths","ON","2021-02-06",6705
"deaths","ON","2021-02-07",6725
"deaths","ON","2021-02-08",6755
"deaths","ON","2021-02-09",6784
"deaths","ON","2021-02-10",6815
"deaths","ON","2021-02-11",6834
"deaths","ON","2021-02-12",6860
"deaths","ON","2021-02-13",6875
"deaths","ON","2021-02-14",6904
"deaths","ON","2021-02-15",6923
"deaths","ON","2021-02-16",6943
"deaths","ON","2021-02-17",6975
"deaths","ON","2021-02-18",6994
"deaths","ON","2021-02-19",7010
"deaths","ON","2021-02-20",7026
"deaths","ON","2021-02-21",7040
"deaths","ON","2021-02-22",7054
"deaths","ON","2021-02-23",7072
"deaths","ON","2021-02-24",7085
"deaths","ON","2021-02-25",7100
"deaths","ON","2021-02-26",7116
"deaths","ON","2021-02-27",7123
"deaths","ON","2021-02-28",7134
"deaths","ON","2021-03-01",7147
"deaths","ON","2021-03-02",7165
"deaths","ON","2021-03-03",7178
"deaths","ON","2021-03-04",7187
"deaths","ON","2021-03-05",7199
"deaths","ON","2021-03-06",7210
"deaths","ON","2021-03-07",7222
"deaths","ON","2021-03-08",7237
"deaths","ON","2021-03-09",7250
"deaths","ON","2021-03-10",7261
"deaths","ON","2021-03-11",7275
"deaths","ON","2021-03-12",7287
"deaths","ON","2021-03-13",7298
"deaths","ON","2021-03-14",7306
"deaths","ON","2021-03-15",7316
"deaths","ON","2021-03-16",7332
"deaths","ON","2021-03-17",7347
"deaths","ON","2021-03-18",7358
"deaths","ON","2021-03-19",7376
"deaths","ON","2021-03-20",7380
"deaths","ON","2021-03-21",7388
"deaths","ON","2021-03-22",7402
"deaths","ON","2021-03-23",7417
"deaths","ON","2021-03-24",7436
"deaths","ON","2021-03-25",7453
"deaths","ON","2021-03-26",7472
"deaths","ON","2021-03-27",7488
"deaths","ON","2021-03-28",7507
"deaths","ON","2021-03-29",7527
"deaths","ON","2021-03-30",7542
"deaths","ON","2021-03-31",7558
"deaths","ON","2021-04-01",7577
"deaths","ON","2021-04-02",7588
"deaths","ON","2021-04-03",7601
"deaths","ON","2021-04-04",7626
"deaths","ON","2021-04-05",7649
"deaths","ON","2021-04-06",7665
"deaths","ON","2021-04-07",7690
"deaths","ON","2021-04-08",7709
"deaths","ON","2021-04-09",7740
"deaths","ON","2021-04-10",7763
"deaths","ON","2021-04-11",7790
"deaths","ON","2021-04-12",7821
"deaths","ON","2021-04-13",7859
"deaths","ON","2021-04-14",7882
"deaths","ON","2021-04-15",7907
"deaths","ON","2021-04-16",7929
"deaths","ON","2021-04-17",7962
"deaths","ON","2021-04-18",7996
"deaths","ON","2021-04-19",8032
"deaths","ON","2021-04-20",8061
"deaths","ON","2021-04-21",8083
"deaths","ON","2021-04-22",8127
"deaths","ON","2021-04-23",8157
"deaths","ON","2021-04-24",8191
"deaths","ON","2021-04-25",8228
"deaths","ON","2021-04-26",8266
"deaths","ON","2021-04-27",8300
"deaths","ON","2021-04-28",8331
"deaths","ON","2021-04-29",8354
"deaths","ON","2021-04-30",8381
"deaths","ON","2021-05-01",8419
"deaths","ON","2021-05-02",8441
"deaths","ON","2021-05-03",8470
"deaths","ON","2021-05-04",8500
"deaths","ON","2021-05-05",8524
"deaths","ON","2021-05-06",8558
"deaths","ON","2021-05-07",8595
"deaths","ON","2021-05-08",8628
"deaths","ON","2021-05-09",8652
"deaths","ON","2021-05-10",8675
"deaths","ON","2021-05-11",8702
"deaths","ON","2021-05-12",8734
"deaths","ON","2021-05-13",8757
"deaths","ON","2021-05-14",8771
"deaths","ON","2021-05-15",8791
"deaths","ON","2021-05-16",8808
"deaths","ON","2021-05-17",8829
"deaths","ON","2021-05-18",8851
"deaths","ON","2021-05-19",8873
"deaths","ON","2021-05-20",8896
"deaths","ON","2021-05-21",8914
"deaths","ON","2021-05-22",8943
"deaths","ON","2021-05-23",8957
"deaths","ON","2021-05-24",8972
"deaths","ON","2021-05-25",8992
"deaths","ON","2021-05-26",9013
"deaths","ON","2021-05-27",9029
"deaths","ON","2021-05-28",9056
"deaths","ON","2021-05-29",9079
"deaths","ON","2021-05-30",9094
"deaths","ON","2021-05-31",9110
"deaths","ON","2021-06-01",9120
"deaths","ON","2021-06-02",9136
"deaths","ON","2021-06-03",9146
"deaths","ON","2021-06-04",9158
"deaths","ON","2021-06-05",9173
"deaths","ON","2021-06-06",9183
"deaths","ON","2021-06-07",9193
"deaths","ON","2021-06-08",9199
"deaths","ON","2021-06-09",9210
"deaths","ON","2021-06-10",9212
"deaths","ON","2021-06-11",9214
"deaths","ON","2021-06-12",9219
"deaths","ON","2021-06-13",9228
"deaths","ON","2021-06-14",9236
"deaths","ON","2021-06-15",9240
"deaths","ON","2021-06-16",9244
"deaths","ON","2021-06-17",9253
"deaths","ON","2021-06-18",9257
"deaths","ON","2021-06-19",9259
"deaths","ON","2021-06-20",9268
"deaths","ON","2021-06-21",9276
"deaths","ON","2021-06-22",9279
"deaths","ON","2021-06-23",9287
"deaths","ON","2021-06-24",9291
"deaths","ON","2021-06-25",9291
"deaths","ON","2021-06-26",9297
"deaths","ON","2021-06-27",9303
"deaths","ON","2021-06-28",9305
"deaths","ON","2021-06-29",9311
"deaths","ON","2021-06-30",9314
"deaths","ON","2021-07-01",9319
"deaths","ON","2021-07-02",9324
"deaths","ON","2021-07-03",9327
"deaths","ON","2021-07-04",9332
"deaths","ON","2021-07-05",9339
"deaths","ON","2021-07-06",9344
"deaths","ON","2021-07-07",9349
"deaths","ON","2021-07-08",9356
"deaths","ON","2021-07-09",9362
"deaths","ON","2021-07-10",9366
"deaths","ON","2021-07-11",9370
"deaths","ON","2021-07-12",9375
"deaths","ON","2021-07-13",9383
"deaths","ON","2021-07-14",9386
"deaths","ON","2021-07-15",9389
"deaths","ON","2021-07-16",9395
"deaths","ON","2021-07-17",9395
"deaths","ON","2021-07-18",9397
"deaths","ON","2021-07-19",9399
"deaths","ON","2021-07-20",9402
"deaths","ON","2021-07-21",9405
"deaths","ON","2021-07-22",9407
"deaths","ON","2021-07-23",9407
"deaths","ON","2021-07-24",9410
"deaths","ON","2021-07-25",9412
"deaths","ON","2021-07-26",9412
"deaths","ON","2021-07-27",9415
"deaths","ON","2021-07-28",9418
"deaths","ON","2021-07-29",9422
"deaths","ON","2021-07-30",9425
"deaths","ON","2021-07-31",9425
"deaths","ON","2021-08-01",9430
"deaths","ON","2021-08-02",9430
"deaths","ON","2021-08-03",9431
"deaths","ON","2021-08-04",9433
"deaths","ON","2021-08-05",9435
"deaths","ON","2021-08-06",9437
"deaths","ON","2021-08-07",9437
"deaths","ON","2021-08-08",9437
"deaths","ON","2021-08-09",9440
"deaths","ON","2021-08-10",9443
"deaths","ON","2021-08-11",9444
"deaths","ON","2021-08-12",9445
"deaths","ON","2021-08-13",9446
"deaths","ON","2021-08-14",9448
"deaths","ON","2021-08-15",9449
"deaths","ON","2021-08-16",9451
"deaths","ON","2021-08-17",9454
