"name","region","date","value","value_daily"
"cases","CAN","2020-01-24",0,0
"cases","CAN","2020-01-25",1,1
"cases","CAN","2020-01-26",1,0
"cases","CAN","2020-01-27",2,1
"cases","CAN","2020-01-28",2,0
"cases","CAN","2020-01-29",2,0
"cases","CAN","2020-01-30",2,0
"cases","CAN","2020-01-31",3,1
"cases","CAN","2020-02-01",3,0
"cases","CAN","2020-02-02",3,0
"cases","CAN","2020-02-03",3,0
"cases","CAN","2020-02-04",3,0
"cases","CAN","2020-02-05",3,0
"cases","CAN","2020-02-06",4,1
"cases","CAN","2020-02-07",4,0
"cases","CAN","2020-02-08",4,0
"cases","CAN","2020-02-09",4,0
"cases","CAN","2020-02-10",4,0
"cases","CAN","2020-02-11",4,0
"cases","CAN","2020-02-12",4,0
"cases","CAN","2020-02-13",4,0
"cases","CAN","2020-02-14",4,0
"cases","CAN","2020-02-15",4,0
"cases","CAN","2020-02-16",4,0
"cases","CAN","2020-02-17",4,0
"cases","CAN","2020-02-18",5,1
"cases","CAN","2020-02-19",5,0
"cases","CAN","2020-02-20",5,0
"cases","CAN","2020-02-21",5,0
"cases","CAN","2020-02-22",5,0
"cases","CAN","2020-02-23",6,1
"cases","CAN","2020-02-24",8,2
"cases","CAN","2020-02-25",8,0
"cases","CAN","2020-02-26",9,1
"cases","CAN","2020-02-27",10,1
"cases","CAN","2020-02-28",12,2
"cases","CAN","2020-02-29",15,3
"cases","CAN","2020-03-01",19,4
"cases","CAN","2020-03-02",19,0
"cases","CAN","2020-03-03",29,10
"cases","CAN","2020-03-04",29,0
"cases","CAN","2020-03-05",37,8
"cases","CAN","2020-03-06",50,13
"cases","CAN","2020-03-07",53,3
"cases","CAN","2020-03-08",62,9
"cases","CAN","2020-03-09",72,10
"cases","CAN","2020-03-10",93,21
"cases","CAN","2020-03-11",122,29
"cases","CAN","2020-03-12",155,33
"cases","CAN","2020-03-13",201,46
"cases","CAN","2020-03-14",283,82
"cases","CAN","2020-03-15",377,94
"cases","CAN","2020-03-16",486,109
"cases","CAN","2020-03-17",583,97
"cases","CAN","2020-03-18",699,116
"cases","CAN","2020-03-19",859,160
"cases","CAN","2020-03-20",1096,237
"cases","CAN","2020-03-21",1361,265
"cases","CAN","2020-03-22",1672,311
"cases","CAN","2020-03-23",2064,392
"cases","CAN","2020-03-24",2577,513
"cases","CAN","2020-03-25",3108,531
"cases","CAN","2020-03-26",3695,587
"cases","CAN","2020-03-27",4410,715
"cases","CAN","2020-03-28",5208,798
"cases","CAN","2020-03-29",5973,765
"cases","CAN","2020-03-30",6970,997
"cases","CAN","2020-03-31",8070,1100
"cases","CAN","2020-04-01",9511,1441
"cases","CAN","2020-04-02",10737,1226
"cases","CAN","2020-04-03",12079,1342
"cases","CAN","2020-04-04",13221,1142
"cases","CAN","2020-04-05",14367,1146
"cases","CAN","2020-04-06",15316,949
"cases","CAN","2020-04-07",16439,1123
"cases","CAN","2020-04-08",17926,1487
"cases","CAN","2020-04-09",19097,1171
"cases","CAN","2020-04-10",20511,1414
"cases","CAN","2020-04-11",21611,1100
"cases","CAN","2020-04-12",22774,1163
"cases","CAN","2020-04-13",24146,1372
"cases","CAN","2020-04-14",25701,1555
"cases","CAN","2020-04-15",27445,1744
"cases","CAN","2020-04-16",29065,1620
"cases","CAN","2020-04-17",30763,1698
"cases","CAN","2020-04-18",32348,1585
"cases","CAN","2020-04-19",33854,1506
"cases","CAN","2020-04-20",35394,1540
"cases","CAN","2020-04-21",36983,1589
"cases","CAN","2020-04-22",38525,1542
"cases","CAN","2020-04-23",40423,1898
"cases","CAN","2020-04-24",42136,1713
"cases","CAN","2020-04-25",43666,1530
"cases","CAN","2020-04-26",45032,1366
"cases","CAN","2020-04-27",46321,1289
"cases","CAN","2020-04-28",47849,1528
"cases","CAN","2020-04-29",49290,1441
"cases","CAN","2020-04-30",50885,1595
"cases","CAN","2020-05-01",52313,1428
"cases","CAN","2020-05-02",53820,1507
"cases","CAN","2020-05-03",55141,1321
