"name","region","date","value","value_daily"
"deaths","CAN","2020-01-24",0,0
"deaths","CAN","2020-01-25",0,0
"deaths","CAN","2020-01-26",0,0
"deaths","CAN","2020-01-27",0,0
"deaths","CAN","2020-01-28",0,0
"deaths","CAN","2020-01-29",0,0
"deaths","CAN","2020-01-30",0,0
"deaths","CAN","2020-01-31",0,0
"deaths","CAN","2020-02-01",0,0
"deaths","CAN","2020-02-02",0,0
"deaths","CAN","2020-02-03",0,0
"deaths","CAN","2020-02-04",0,0
"deaths","CAN","2020-02-05",0,0
"deaths","CAN","2020-02-06",0,0
"deaths","CAN","2020-02-07",0,0
"deaths","CAN","2020-02-08",0,0
"deaths","CAN","2020-02-09",0,0
"deaths","CAN","2020-02-10",0,0
"deaths","CAN","2020-02-11",0,0
"deaths","CAN","2020-02-12",0,0
"deaths","CAN","2020-02-13",0,0
"deaths","CAN","2020-02-14",0,0
"deaths","CAN","2020-02-15",0,0
"deaths","CAN","2020-02-16",0,0
"deaths","CAN","2020-02-17",0,0
"deaths","CAN","2020-02-18",0,0
"deaths","CAN","2020-02-19",0,0
"deaths","CAN","2020-02-20",0,0
"deaths","CAN","2020-02-21",0,0
"deaths","CAN","2020-02-22",0,0
"deaths","CAN","2020-02-23",0,0
"deaths","CAN","2020-02-24",0,0
"deaths","CAN","2020-02-25",0,0
"deaths","CAN","2020-02-26",0,0
"deaths","CAN","2020-02-27",0,0
"deaths","CAN","2020-02-28",0,0
"deaths","CAN","2020-02-29",0,0
"deaths","CAN","2020-03-01",0,0
"deaths","CAN","2020-03-02",0,0
"deaths","CAN","2020-03-03",0,0
"deaths","CAN","2020-03-04",0,0
"deaths","CAN","2020-03-05",0,0
"deaths","CAN","2020-03-06",0,0
"deaths","CAN","2020-03-07",0,0
"deaths","CAN","2020-03-08",1,1
"deaths","CAN","2020-03-09",1,0
"deaths","CAN","2020-03-10",1,0
"deaths","CAN","2020-03-11",2,1
"deaths","CAN","2020-03-12",2,0
"deaths","CAN","2020-03-13",2,0
"deaths","CAN","2020-03-14",2,0
"deaths","CAN","2020-03-15",2,0
"deaths","CAN","2020-03-16",5,3
"deaths","CAN","2020-03-17",9,4
"deaths","CAN","2020-03-18",10,1
"deaths","CAN","2020-03-19",14,4
"deaths","CAN","2020-03-20",16,2
"deaths","CAN","2020-03-21",18,2
"deaths","CAN","2020-03-22",22,4
"deaths","CAN","2020-03-23",25,3
"deaths","CAN","2020-03-24",31,6
"deaths","CAN","2020-03-25",39,8
"deaths","CAN","2020-03-26",49,10
"deaths","CAN","2020-03-27",64,15
"deaths","CAN","2020-03-28",69,5
"deaths","CAN","2020-03-29",88,19
"deaths","CAN","2020-03-30",117,29
"deaths","CAN","2020-03-31",160,43
"deaths","CAN","2020-04-01",121,-39
"deaths","CAN","2020-04-02",198,77
"deaths","CAN","2020-04-03",244,46
"deaths","CAN","2020-04-04",317,73
"deaths","CAN","2020-04-05",389,72
"deaths","CAN","2020-04-06",453,64
"deaths","CAN","2020-04-07",532,79
"deaths","CAN","2020-04-08",618,86
"deaths","CAN","2020-04-09",708,90
"deaths","CAN","2020-04-10",811,103
"deaths","CAN","2020-04-11",915,104
"deaths","CAN","2020-04-12",1010,95
"deaths","CAN","2020-04-13",1129,119
"deaths","CAN","2020-04-14",1272,143
"deaths","CAN","2020-04-15",1419,147
"deaths","CAN","2020-04-16",1559,140
"deaths","CAN","2020-04-17",1708,149
"deaths","CAN","2020-04-18",1839,131
"deaths","CAN","2020-04-19",1983,144
"deaths","CAN","2020-04-20",2148,165
"deaths","CAN","2020-04-21",2294,146
"deaths","CAN","2020-04-22",2456,162
"deaths","CAN","2020-04-23",2638,182
"deaths","CAN","2020-04-24",2812,174
"deaths","CAN","2020-04-25",2982,170
"deaths","CAN","2020-04-26",3132,150
"deaths","CAN","2020-04-27",3304,172
"deaths","CAN","2020-04-28",3490,186
"deaths","CAN","2020-04-29",3686,196
"deaths","CAN","2020-04-30",3927,241
"deaths","CAN","2020-05-01",4090,163
"deaths","CAN","2020-05-02",4289,199
"deaths","CAN","2020-05-03",4449,160
"deaths","CAN","2020-05-04",4644,195
"deaths","CAN","2020-05-05",4824,180
"deaths","CAN","2020-05-06",5001,177
"deaths","CAN","2020-05-07",5150,149
"deaths","CAN","2020-05-08",5311,161
"deaths","CAN","2020-05-09",5463,152
"deaths","CAN","2020-05-10",5596,133
"deaths","CAN","2020-05-11",5726,130
"deaths","CAN","2020-05-12",5881,155
"deaths","CAN","2020-05-13",6007,126
"deaths","CAN","2020-05-14",6110,103
"deaths","CAN","2020-05-15",6236,126
"deaths","CAN","2020-05-16",6355,119
"deaths","CAN","2020-05-17",6458,103
"deaths","CAN","2020-05-18",6550,92
"deaths","CAN","2020-05-19",6637,87
"deaths","CAN","2020-05-20",6743,106
"deaths","CAN","2020-05-21",6854,111
"deaths","CAN","2020-05-22",6945,91
"deaths","CAN","2020-05-23",7042,97
"deaths","CAN","2020-05-24",7131,89
"deaths","CAN","2020-05-25",7231,100
"deaths","CAN","2020-05-26",7314,83
"deaths","CAN","2020-05-27",7416,102
"deaths","CAN","2020-05-28",7513,97
"deaths","CAN","2020-05-29",7632,119
"deaths","CAN","2020-05-30",7710,78
"deaths","CAN","2020-05-31",7771,61
"deaths","CAN","2020-06-01",7817,46
"deaths","CAN","2020-06-02",7872,55
"deaths","CAN","2020-06-03",7928,56
"deaths","CAN","2020-06-04",8010,82
"deaths","CAN","2020-06-05",8043,33
"deaths","CAN","2020-06-06",8103,60
"deaths","CAN","2020-06-07",8147,44
"deaths","CAN","2020-06-08",8197,50
"deaths","CAN","2020-06-09",8230,33
"deaths","CAN","2020-06-10",8259,29
"deaths","CAN","2020-06-11",8289,30
"deaths","CAN","2020-06-12",8320,31
"deaths","CAN","2020-06-13",8350,30
"deaths","CAN","2020-06-14",8379,29
"deaths","CAN","2020-06-15",8399,20
"deaths","CAN","2020-06-16",8427,28
"deaths","CAN","2020-06-17",8448,21
"deaths","CAN","2020-06-18",8461,13
"deaths","CAN","2020-06-19",8478,17
"deaths","CAN","2020-06-20",8521,43
"deaths","CAN","2020-06-21",8533,12
