"name","region","date","value"
"vaccine_administration_total_doses","AB","2020-12-19",0
"vaccine_administration_total_doses","AB","2020-12-20",0
"vaccine_administration_total_doses","AB","2020-12-21",0
"vaccine_administration_total_doses","AB","2020-12-22",0
"vaccine_administration_total_doses","AB","2020-12-23",0
"vaccine_administration_total_doses","AB","2020-12-24",0
"vaccine_administration_total_doses","AB","2020-12-25",0
"vaccine_administration_total_doses","AB","2020-12-26",4792
"vaccine_administration_total_doses","AB","2020-12-27",4792
"vaccine_administration_total_doses","AB","2020-12-28",4792
"vaccine_administration_total_doses","AB","2020-12-29",4792
"vaccine_administration_total_doses","AB","2020-12-30",4792
"vaccine_administration_total_doses","AB","2020-12-31",4792
"vaccine_administration_total_doses","AB","2021-01-01",4792
"vaccine_administration_total_doses","AB","2021-01-02",13383
"vaccine_administration_total_doses","AB","2021-01-03",13383
"vaccine_administration_total_doses","AB","2021-01-04",13383
"vaccine_administration_total_doses","AB","2021-01-05",13383
"vaccine_administration_total_doses","AB","2021-01-06",13383
"vaccine_administration_total_doses","AB","2021-01-07",13383
"vaccine_administration_total_doses","AB","2021-01-08",13383
"vaccine_administration_total_doses","AB","2021-01-09",45022
"vaccine_administration_total_doses","AB","2021-01-10",45022
"vaccine_administration_total_doses","AB","2021-01-11",45022
"vaccine_administration_total_doses","AB","2021-01-12",45022
"vaccine_administration_total_doses","AB","2021-01-13",45022
"vaccine_administration_total_doses","AB","2021-01-14",45022
"vaccine_administration_total_doses","AB","2021-01-15",45022
"vaccine_administration_total_doses","AB","2021-01-16",85934
"vaccine_administration_total_doses","AB","2021-01-17",85934
"vaccine_administration_total_doses","AB","2021-01-18",85934
"vaccine_administration_total_doses","AB","2021-01-19",85934
"vaccine_administration_total_doses","AB","2021-01-20",85934
"vaccine_administration_total_doses","AB","2021-01-21",85934
"vaccine_administration_total_doses","AB","2021-01-22",85934
"vaccine_administration_total_doses","AB","2021-01-23",99026
"vaccine_administration_total_doses","AB","2021-01-24",99026
"vaccine_administration_total_doses","AB","2021-01-25",99026
"vaccine_administration_total_doses","AB","2021-01-26",99026
"vaccine_administration_total_doses","AB","2021-01-27",99026
"vaccine_administration_total_doses","AB","2021-01-28",99026
"vaccine_administration_total_doses","AB","2021-01-29",99026
"vaccine_administration_total_doses","AB","2021-01-30",106232
"vaccine_administration_total_doses","AB","2021-01-31",106232
"vaccine_administration_total_doses","AB","2021-02-01",106232
"vaccine_administration_total_doses","AB","2021-02-02",106232
"vaccine_administration_total_doses","AB","2021-02-03",106232
"vaccine_administration_total_doses","AB","2021-02-04",106232
"vaccine_administration_total_doses","AB","2021-02-05",106232
"vaccine_administration_total_doses","AB","2021-02-06",112347
"vaccine_administration_total_doses","AB","2021-02-07",112347
"vaccine_administration_total_doses","AB","2021-02-08",112347
"vaccine_administration_total_doses","AB","2021-02-09",112347
"vaccine_administration_total_doses","AB","2021-02-10",112347
"vaccine_administration_total_doses","AB","2021-02-11",112347
"vaccine_administration_total_doses","AB","2021-02-12",112347
"vaccine_administration_total_doses","AB","2021-02-13",145678
"vaccine_administration_total_doses","AB","2021-02-14",145678
"vaccine_administration_total_doses","AB","2021-02-15",145678
"vaccine_administration_total_doses","AB","2021-02-16",145678
"vaccine_administration_total_doses","AB","2021-02-17",145678
"vaccine_administration_total_doses","AB","2021-02-18",145678
"vaccine_administration_total_doses","AB","2021-02-19",145678
"vaccine_administration_total_doses","AB","2021-02-20",169424
"vaccine_administration_total_doses","AB","2021-02-21",169424
"vaccine_administration_total_doses","AB","2021-02-22",169424
"vaccine_administration_total_doses","AB","2021-02-23",169424
"vaccine_administration_total_doses","AB","2021-02-24",169424
"vaccine_administration_total_doses","AB","2021-02-25",169424
"vaccine_administration_total_doses","AB","2021-02-26",169424
"vaccine_administration_total_doses","AB","2021-02-27",227368
"vaccine_administration_total_doses","AB","2021-02-28",227368
"vaccine_administration_total_doses","AB","2021-03-01",227368
"vaccine_administration_total_doses","AB","2021-03-02",227368
"vaccine_administration_total_doses","AB","2021-03-03",227368
"vaccine_administration_total_doses","AB","2021-03-04",227368
"vaccine_administration_total_doses","AB","2021-03-05",227368
"vaccine_administration_total_doses","AB","2021-03-06",292858
"vaccine_administration_total_doses","AB","2021-03-07",292858
"vaccine_administration_total_doses","AB","2021-03-08",292858
"vaccine_administration_total_doses","AB","2021-03-09",292858
"vaccine_administration_total_doses","AB","2021-03-10",292858
"vaccine_administration_total_doses","AB","2021-03-11",292858
"vaccine_administration_total_doses","AB","2021-03-12",292858
"vaccine_administration_total_doses","AB","2021-03-13",379558
"vaccine_administration_total_doses","AB","2021-03-14",379558
"vaccine_administration_total_doses","AB","2021-03-15",379558
"vaccine_administration_total_doses","AB","2021-03-16",379558
"vaccine_administration_total_doses","AB","2021-03-17",379558
"vaccine_administration_total_doses","AB","2021-03-18",379558
"vaccine_administration_total_doses","AB","2021-03-19",379558
"vaccine_administration_total_doses","AB","2021-03-20",481480
"vaccine_administration_total_doses","AB","2021-03-21",481480
"vaccine_administration_total_doses","AB","2021-03-22",481480
"vaccine_administration_total_doses","AB","2021-03-23",481480
"vaccine_administration_total_doses","AB","2021-03-24",481480
"vaccine_administration_total_doses","AB","2021-03-25",481480
"vaccine_administration_total_doses","AB","2021-03-26",481480
"vaccine_administration_total_doses","AB","2021-03-27",600538
"vaccine_administration_total_doses","AB","2021-03-28",600538
"vaccine_administration_total_doses","AB","2021-03-29",600538
"vaccine_administration_total_doses","AB","2021-03-30",600538
"vaccine_administration_total_doses","AB","2021-03-31",600538
"vaccine_administration_total_doses","AB","2021-04-01",600538
"vaccine_administration_total_doses","AB","2021-04-02",600538
"vaccine_administration_total_doses","AB","2021-04-03",712580
"vaccine_administration_total_doses","AB","2021-04-04",712580
"vaccine_administration_total_doses","AB","2021-04-05",712580
"vaccine_administration_total_doses","AB","2021-04-06",712580
"vaccine_administration_total_doses","AB","2021-04-07",712580
"vaccine_administration_total_doses","AB","2021-04-08",712580
"vaccine_administration_total_doses","AB","2021-04-09",712580
"vaccine_administration_total_doses","AB","2021-04-10",892649
"vaccine_administration_total_doses","AB","2021-04-11",892649
"vaccine_administration_total_doses","AB","2021-04-12",892649
"vaccine_administration_total_doses","AB","2021-04-13",892649
"vaccine_administration_total_doses","AB","2021-04-14",892649
"vaccine_administration_total_doses","AB","2021-04-15",892649
"vaccine_administration_total_doses","AB","2021-04-16",892649
"vaccine_administration_total_doses","AB","2021-04-17",1165206
"vaccine_administration_total_doses","AB","2021-04-18",1165206
"vaccine_administration_total_doses","AB","2021-04-19",1165206
"vaccine_administration_total_doses","AB","2021-04-20",1165206
"vaccine_administration_total_doses","AB","2021-04-21",1165206
"vaccine_administration_total_doses","AB","2021-04-22",1165206
"vaccine_administration_total_doses","AB","2021-04-23",1165206
"vaccine_administration_total_doses","AB","2021-04-24",1398010
"vaccine_administration_total_doses","AB","2021-04-25",1398010
"vaccine_administration_total_doses","AB","2021-04-26",1398010
"vaccine_administration_total_doses","AB","2021-04-27",1398010
"vaccine_administration_total_doses","AB","2021-04-28",1398010
"vaccine_administration_total_doses","AB","2021-04-29",1398010
"vaccine_administration_total_doses","AB","2021-04-30",1398010
"vaccine_administration_total_doses","AB","2021-05-01",1599154
"vaccine_administration_total_doses","AB","2021-05-02",1599154
"vaccine_administration_total_doses","AB","2021-05-03",1599154
"vaccine_administration_total_doses","AB","2021-05-04",1599154
"vaccine_administration_total_doses","AB","2021-05-05",1599154
"vaccine_administration_total_doses","AB","2021-05-06",1599154
"vaccine_administration_total_doses","AB","2021-05-07",1599154
"vaccine_administration_total_doses","AB","2021-05-08",1866329
"vaccine_administration_total_doses","AB","2021-05-09",1866329
"vaccine_administration_total_doses","AB","2021-05-10",1866329
"vaccine_administration_total_doses","AB","2021-05-11",1866329
"vaccine_administration_total_doses","AB","2021-05-12",1866329
"vaccine_administration_total_doses","AB","2021-05-13",1866329
"vaccine_administration_total_doses","AB","2021-05-14",1866329
"vaccine_administration_total_doses","AB","2021-05-15",2266609
"vaccine_administration_total_doses","AB","2021-05-16",2266609
"vaccine_administration_total_doses","AB","2021-05-17",2266609
"vaccine_administration_total_doses","AB","2021-05-18",2266609
"vaccine_administration_total_doses","AB","2021-05-19",2266609
"vaccine_administration_total_doses","AB","2021-05-20",2266609
"vaccine_administration_total_doses","AB","2021-05-21",2266609
"vaccine_administration_total_doses","AB","2021-05-22",2589063
"vaccine_administration_total_doses","AB","2021-05-23",2589063
"vaccine_administration_total_doses","AB","2021-05-24",2589063
"vaccine_administration_total_doses","AB","2021-05-25",2589063
"vaccine_administration_total_doses","AB","2021-05-26",2589063
"vaccine_administration_total_doses","AB","2021-05-27",2589063
"vaccine_administration_total_doses","AB","2021-05-28",2589063
"vaccine_administration_total_doses","AB","2021-05-29",2845269
"vaccine_administration_total_doses","AB","2021-05-30",2845269
"vaccine_administration_total_doses","AB","2021-05-31",2845269
"vaccine_administration_total_doses","AB","2021-06-01",2845269
"vaccine_administration_total_doses","AB","2021-06-02",2845269
"vaccine_administration_total_doses","AB","2021-06-03",2845269
"vaccine_administration_total_doses","AB","2021-06-04",2845269
"vaccine_administration_total_doses","AB","2021-06-05",3144305
"vaccine_administration_total_doses","AB","2021-06-06",3144305
"vaccine_administration_total_doses","AB","2021-06-07",3144305
"vaccine_administration_total_doses","AB","2021-06-08",3144305
"vaccine_administration_total_doses","AB","2021-06-09",3144305
"vaccine_administration_total_doses","AB","2021-06-10",3144305
"vaccine_administration_total_doses","AB","2021-06-11",3144305
"vaccine_administration_total_doses","AB","2021-06-12",3460509
"vaccine_administration_total_doses","AB","2021-06-13",3460509
"vaccine_administration_total_doses","AB","2021-06-14",3460509
"vaccine_administration_total_doses","AB","2021-06-15",3460509
"vaccine_administration_total_doses","AB","2021-06-16",3460509
"vaccine_administration_total_doses","AB","2021-06-17",3460509
"vaccine_administration_total_doses","AB","2021-06-18",3460509
"vaccine_administration_total_doses","AB","2021-06-19",3834734
"vaccine_administration_total_doses","AB","2021-06-20",3834734
"vaccine_administration_total_doses","AB","2021-06-21",3834734
"vaccine_administration_total_doses","AB","2021-06-22",3834734
"vaccine_administration_total_doses","AB","2021-06-23",3834734
"vaccine_administration_total_doses","AB","2021-06-24",3834734
"vaccine_administration_total_doses","AB","2021-06-25",3834734
"vaccine_administration_total_doses","AB","2021-06-26",4220914
"vaccine_administration_total_doses","AB","2021-06-27",4220914
"vaccine_administration_total_doses","AB","2021-06-28",4220914
"vaccine_administration_total_doses","AB","2021-06-29",4220914
"vaccine_administration_total_doses","AB","2021-06-30",4220914
