"name","region","date","value"
"vaccine_coverage_dose_1","AB","2020-12-19",0
"vaccine_coverage_dose_1","AB","2020-12-20",0
"vaccine_coverage_dose_1","AB","2020-12-21",0
"vaccine_coverage_dose_1","AB","2020-12-22",0
"vaccine_coverage_dose_1","AB","2020-12-23",0
"vaccine_coverage_dose_1","AB","2020-12-24",0
"vaccine_coverage_dose_1","AB","2020-12-25",0
"vaccine_coverage_dose_1","AB","2020-12-26",0.1
"vaccine_coverage_dose_1","AB","2020-12-27",0.1
"vaccine_coverage_dose_1","AB","2020-12-28",0.1
"vaccine_coverage_dose_1","AB","2020-12-29",0.1
"vaccine_coverage_dose_1","AB","2020-12-30",0.1
"vaccine_coverage_dose_1","AB","2020-12-31",0.1
"vaccine_coverage_dose_1","AB","2021-01-01",0.1
"vaccine_coverage_dose_1","AB","2021-01-02",0.3
"vaccine_coverage_dose_1","AB","2021-01-03",0.3
"vaccine_coverage_dose_1","AB","2021-01-04",0.3
"vaccine_coverage_dose_1","AB","2021-01-05",0.3
"vaccine_coverage_dose_1","AB","2021-01-06",0.3
"vaccine_coverage_dose_1","AB","2021-01-07",0.3
"vaccine_coverage_dose_1","AB","2021-01-08",0.3
"vaccine_coverage_dose_1","AB","2021-01-09",1
"vaccine_coverage_dose_1","AB","2021-01-10",1
"vaccine_coverage_dose_1","AB","2021-01-11",1
"vaccine_coverage_dose_1","AB","2021-01-12",1
"vaccine_coverage_dose_1","AB","2021-01-13",1
"vaccine_coverage_dose_1","AB","2021-01-14",1
"vaccine_coverage_dose_1","AB","2021-01-15",1
"vaccine_coverage_dose_1","AB","2021-01-16",1.8
"vaccine_coverage_dose_1","AB","2021-01-17",1.8
"vaccine_coverage_dose_1","AB","2021-01-18",1.8
"vaccine_coverage_dose_1","AB","2021-01-19",1.8
"vaccine_coverage_dose_1","AB","2021-01-20",1.8
"vaccine_coverage_dose_1","AB","2021-01-21",1.8
"vaccine_coverage_dose_1","AB","2021-01-22",1.8
"vaccine_coverage_dose_1","AB","2021-01-23",2
"vaccine_coverage_dose_1","AB","2021-01-24",2
"vaccine_coverage_dose_1","AB","2021-01-25",2
"vaccine_coverage_dose_1","AB","2021-01-26",2
"vaccine_coverage_dose_1","AB","2021-01-27",2
"vaccine_coverage_dose_1","AB","2021-01-28",2
"vaccine_coverage_dose_1","AB","2021-01-29",2
"vaccine_coverage_dose_1","AB","2021-01-30",2
"vaccine_coverage_dose_1","AB","2021-01-31",2
"vaccine_coverage_dose_1","AB","2021-02-01",2
"vaccine_coverage_dose_1","AB","2021-02-02",2
"vaccine_coverage_dose_1","AB","2021-02-03",2
"vaccine_coverage_dose_1","AB","2021-02-04",2
"vaccine_coverage_dose_1","AB","2021-02-05",2
"vaccine_coverage_dose_1","AB","2021-02-06",2
"vaccine_coverage_dose_1","AB","2021-02-07",2
"vaccine_coverage_dose_1","AB","2021-02-08",2
"vaccine_coverage_dose_1","AB","2021-02-09",2
"vaccine_coverage_dose_1","AB","2021-02-10",2
"vaccine_coverage_dose_1","AB","2021-02-11",2
"vaccine_coverage_dose_1","AB","2021-02-12",2
"vaccine_coverage_dose_1","AB","2021-02-13",2.1
"vaccine_coverage_dose_1","AB","2021-02-14",2.1
"vaccine_coverage_dose_1","AB","2021-02-15",2.1
"vaccine_coverage_dose_1","AB","2021-02-16",2.1
"vaccine_coverage_dose_1","AB","2021-02-17",2.1
"vaccine_coverage_dose_1","AB","2021-02-18",2.1
"vaccine_coverage_dose_1","AB","2021-02-19",2.1
"vaccine_coverage_dose_1","AB","2021-02-20",2.3
"vaccine_coverage_dose_1","AB","2021-02-21",2.3
"vaccine_coverage_dose_1","AB","2021-02-22",2.3
"vaccine_coverage_dose_1","AB","2021-02-23",2.3
"vaccine_coverage_dose_1","AB","2021-02-24",2.3
"vaccine_coverage_dose_1","AB","2021-02-25",2.3
"vaccine_coverage_dose_1","AB","2021-02-26",2.3
"vaccine_coverage_dose_1","AB","2021-02-27",3.2
"vaccine_coverage_dose_1","AB","2021-02-28",3.2
"vaccine_coverage_dose_1","AB","2021-03-01",3.2
"vaccine_coverage_dose_1","AB","2021-03-02",3.2
"vaccine_coverage_dose_1","AB","2021-03-03",3.2
"vaccine_coverage_dose_1","AB","2021-03-04",3.2
"vaccine_coverage_dose_1","AB","2021-03-05",3.2
"vaccine_coverage_dose_1","AB","2021-03-06",4.6
