"name","region","date","value","update"
"cases","AB","2020-02-01",0,1
"cases","AB","2020-02-02",0,
"cases","AB","2020-02-03",0,
"cases","AB","2020-02-04",0,
"cases","AB","2020-02-05",0,
"cases","AB","2020-02-06",0,
"cases","AB","2020-02-07",0,
"cases","AB","2020-02-08",0,1
"cases","AB","2020-02-09",0,
"cases","AB","2020-02-10",0,
"cases","AB","2020-02-11",0,
"cases","AB","2020-02-12",0,
"cases","AB","2020-02-13",0,
"cases","AB","2020-02-14",0,
"cases","AB","2020-02-15",0,1
"cases","AB","2020-02-16",0,
"cases","AB","2020-02-17",0,
"cases","AB","2020-02-18",0,
"cases","AB","2020-02-19",0,
"cases","AB","2020-02-20",0,
"cases","AB","2020-02-21",0,
"cases","AB","2020-02-22",0,1
"cases","AB","2020-02-23",0,
"cases","AB","2020-02-24",0,
"cases","AB","2020-02-25",0,
"cases","AB","2020-02-26",0,
"cases","AB","2020-02-27",0,
"cases","AB","2020-02-28",0,
"cases","AB","2020-02-29",0,1
"cases","AB","2020-03-01",0,
"cases","AB","2020-03-02",0,
"cases","AB","2020-03-03",0,
"cases","AB","2020-03-04",0,
"cases","AB","2020-03-05",0,
"cases","AB","2020-03-06",0,
"cases","AB","2020-03-07",2,1
"cases","AB","2020-03-08",2,
"cases","AB","2020-03-09",2,
"cases","AB","2020-03-10",2,
"cases","AB","2020-03-11",2,
"cases","AB","2020-03-12",2,
"cases","AB","2020-03-13",2,
"cases","AB","2020-03-14",56,1
"cases","AB","2020-03-15",56,
"cases","AB","2020-03-16",56,
"cases","AB","2020-03-17",56,
"cases","AB","2020-03-18",56,
"cases","AB","2020-03-19",56,
"cases","AB","2020-03-20",56,
"cases","AB","2020-03-21",244,1
"cases","AB","2020-03-22",244,
"cases","AB","2020-03-23",244,
"cases","AB","2020-03-24",244,
"cases","AB","2020-03-25",244,
"cases","AB","2020-03-26",244,
"cases","AB","2020-03-27",244,
"cases","AB","2020-03-28",665,1
"cases","AB","2020-03-29",665,
"cases","AB","2020-03-30",665,
"cases","AB","2020-03-31",665,
"cases","AB","2020-04-01",665,
"cases","AB","2020-04-02",665,
"cases","AB","2020-04-03",665,
"cases","AB","2020-04-04",1231,1
"cases","AB","2020-04-05",1231,
"cases","AB","2020-04-06",1231,
"cases","AB","2020-04-07",1231,
"cases","AB","2020-04-08",1231,
"cases","AB","2020-04-09",1231,
"cases","AB","2020-04-10",1231,
"cases","AB","2020-04-11",1551,1
"cases","AB","2020-04-12",1551,
"cases","AB","2020-04-13",1551,
"cases","AB","2020-04-14",1551,
"cases","AB","2020-04-15",1551,
"cases","AB","2020-04-16",1551,
"cases","AB","2020-04-17",1551,
"cases","AB","2020-04-18",2492,1
"cases","AB","2020-04-19",2492,
"cases","AB","2020-04-20",2492,
"cases","AB","2020-04-21",2492,
"cases","AB","2020-04-22",2492,
"cases","AB","2020-04-23",2492,
"cases","AB","2020-04-24",2492,
"cases","AB","2020-04-25",4228,1
"cases","AB","2020-04-26",4228,
"cases","AB","2020-04-27",4228,
"cases","AB","2020-04-28",4228,
"cases","AB","2020-04-29",4228,
"cases","AB","2020-04-30",4228,
"cases","AB","2020-05-01",4228,
"cases","AB","2020-05-02",5563,1
"cases","AB","2020-05-03",5563,
"cases","AB","2020-05-04",5563,
"cases","AB","2020-05-05",5563,
"cases","AB","2020-05-06",5563,
"cases","AB","2020-05-07",5563,
"cases","AB","2020-05-08",5563,
"cases","AB","2020-05-09",6087,1
"cases","AB","2020-05-10",6087,
"cases","AB","2020-05-11",6087,
"cases","AB","2020-05-12",6087,
"cases","AB","2020-05-13",6087,
"cases","AB","2020-05-14",6087,
"cases","AB","2020-05-15",6087,
"cases","AB","2020-05-16",6525,1
"cases","AB","2020-05-17",6525,
"cases","AB","2020-05-18",6525,
"cases","AB","2020-05-19",6525,
"cases","AB","2020-05-20",6525,
"cases","AB","2020-05-21",6525,
"cases","AB","2020-05-22",6525,
"cases","AB","2020-05-23",6768,1
"cases","AB","2020-05-24",6768,
"cases","AB","2020-05-25",6768,
"cases","AB","2020-05-26",6768,
"cases","AB","2020-05-27",6768,
"cases","AB","2020-05-28",6768,
"cases","AB","2020-05-29",6768,
"cases","AB","2020-05-30",6934,1
"cases","AB","2020-05-31",6934,
"cases","AB","2020-06-01",6934,
"cases","AB","2020-06-02",6934,
"cases","AB","2020-06-03",6934,
"cases","AB","2020-06-04",6934,
"cases","AB","2020-06-05",6934,
"cases","AB","2020-06-06",7105,1
"cases","AB","2020-06-07",7105,
"cases","AB","2020-06-08",7105,
"cases","AB","2020-06-09",7105,
"cases","AB","2020-06-10",7105,
"cases","AB","2020-06-11",7105,
"cases","AB","2020-06-12",7105,
"cases","AB","2020-06-13",7353,1
"cases","AB","2020-06-14",7353,
"cases","AB","2020-06-15",7353,
"cases","AB","2020-06-16",7353,
"cases","AB","2020-06-17",7353,
"cases","AB","2020-06-18",7353,
"cases","AB","2020-06-19",7353,
"cases","AB","2020-06-20",7656,1
"cases","AB","2020-06-21",7656,
"cases","AB","2020-06-22",7656,
"cases","AB","2020-06-23",7656,
"cases","AB","2020-06-24",7656,
"cases","AB","2020-06-25",7656,
"cases","AB","2020-06-26",7656,
