"name","region","date","value_daily"
"cases","AB","2023-09-02",308
"cases","AB","2023-09-09",381
"cases","AB","2023-09-16",492
"cases","AB","2023-09-23",591
"cases","AB","2023-09-30",727
"cases","AB","2023-10-07",859
"cases","AB","2023-10-14",951
"cases","AB","2023-10-21",928
"cases","AB","2023-10-28",826
"cases","AB","2023-11-04",946
"cases","AB","2023-11-11",841
"cases","AB","2023-11-18",919
"cases","AB","2023-11-25",807
"cases","AB","2023-12-02",757
"cases","AB","2023-12-09",769
"cases","AB","2023-12-16",661
"cases","AB","2023-12-23",561
"cases","AB","2023-12-30",528
"cases","AB","2024-01-06",594
"cases","AB","2024-01-13",525
"cases","AB","2024-01-20",442
"cases","AB","2024-01-27",407
"cases","AB","2024-02-03",452
"cases","AB","2024-02-10",424
"cases","AB","2024-02-17",383
"cases","AB","2024-02-24",312
"cases","AB","2024-03-02",320
"cases","AB","2024-03-09",273
