"name","province","sub_region_1","date","value","value_daily"
"cases","AB","Calgary",2020-03-06,1,1
"cases","AB","Central",2020-03-06,0,0
"cases","AB","Edmonton",2020-03-06,0,0
"cases","AB","North",2020-03-06,0,0
"cases","AB","Not Reported",2020-03-06,0,0
"cases","AB","South",2020-03-06,0,0
"cases","AB","Calgary",2020-03-07,1,0
"cases","AB","Central",2020-03-07,0,0
"cases","AB","Edmonton",2020-03-07,0,0
"cases","AB","North",2020-03-07,0,0
"cases","AB","Not Reported",2020-03-07,0,0
"cases","AB","South",2020-03-07,0,0
"cases","AB","Calgary",2020-03-08,1,0
"cases","AB","Central",2020-03-08,0,0
"cases","AB","Edmonton",2020-03-08,0,0
"cases","AB","North",2020-03-08,0,0
"cases","AB","Not Reported",2020-03-08,0,0
"cases","AB","South",2020-03-08,0,0
"cases","AB","Calgary",2020-03-09,4,3
"cases","AB","Central",2020-03-09,0,0
"cases","AB","Edmonton",2020-03-09,3,3
"cases","AB","North",2020-03-09,0,0
"cases","AB","Not Reported",2020-03-09,0,0
"cases","AB","South",2020-03-09,0,0
"cases","AB","Calgary",2020-03-10,10,6
"cases","AB","Central",2020-03-10,0,0
"cases","AB","Edmonton",2020-03-10,6,3
"cases","AB","North",2020-03-10,0,0
"cases","AB","Not Reported",2020-03-10,0,0
"cases","AB","South",2020-03-10,0,0
"cases","AB","Calgary",2020-03-11,15,5
"cases","AB","Central",2020-03-11,1,1
"cases","AB","Edmonton",2020-03-11,7,1
"cases","AB","North",2020-03-11,0,0
"cases","AB","Not Reported",2020-03-11,0,0
"cases","AB","South",2020-03-11,0,0
"cases","AB","Calgary",2020-03-12,17,2
"cases","AB","Central",2020-03-12,1,0
"cases","AB","Edmonton",2020-03-12,7,0
"cases","AB","North",2020-03-12,1,1
"cases","AB","Not Reported",2020-03-12,0,0
"cases","AB","South",2020-03-12,0,0
"cases","AB","Calgary",2020-03-13,24,7
"cases","AB","Central",2020-03-13,1,0
"cases","AB","Edmonton",2020-03-13,8,1
"cases","AB","North",2020-03-13,1,0
"cases","AB","Not Reported",2020-03-13,0,0
"cases","AB","South",2020-03-13,0,0
"cases","AB","Calgary",2020-03-14,37,13
"cases","AB","Central",2020-03-14,1,0
"cases","AB","Edmonton",2020-03-14,17,9
"cases","AB","North",2020-03-14,1,0
"cases","AB","Not Reported",2020-03-14,0,0
"cases","AB","South",2020-03-14,0,0
"cases","AB","Calgary",2020-03-15,47,10
"cases","AB","Central",2020-03-15,1,0
"cases","AB","Edmonton",2020-03-15,18,1
"cases","AB","North",2020-03-15,1,0
"cases","AB","Not Reported",2020-03-15,0,0
"cases","AB","South",2020-03-15,0,0
"cases","AB","Calgary",2020-03-16,63,16
"cases","AB","Central",2020-03-16,2,1
"cases","AB","Edmonton",2020-03-16,23,5
"cases","AB","North",2020-03-16,2,1
"cases","AB","Not Reported",2020-03-16,0,0
"cases","AB","South",2020-03-16,1,1
"cases","AB","Calgary",2020-03-17,66,3
"cases","AB","Central",2020-03-17,3,1
"cases","AB","Edmonton",2020-03-17,29,6
"cases","AB","North",2020-03-17,3,1
"cases","AB","Not Reported",2020-03-17,0,0
"cases","AB","South",2020-03-17,1,0
"cases","AB","Calgary",2020-03-18,89,23
"cases","AB","Central",2020-03-18,3,0
"cases","AB","Edmonton",2020-03-18,32,3
"cases","AB","North",2020-03-18,4,1
"cases","AB","Not Reported",2020-03-18,0,0
"cases","AB","South",2020-03-18,3,2
"cases","AB","Calgary",2020-03-19,104,15
"cases","AB","Central",2020-03-19,3,0
"cases","AB","Edmonton",2020-03-19,40,8
"cases","AB","North",2020-03-19,12,8
"cases","AB","Not Reported",2020-03-19,0,0
"cases","AB","South",2020-03-19,4,1
"cases","AB","Calgary",2020-03-20,134,30
"cases","AB","Central",2020-03-20,4,1
"cases","AB","Edmonton",2020-03-20,53,13
"cases","AB","North",2020-03-20,13,1
"cases","AB","Not Reported",2020-03-20,0,0
"cases","AB","South",2020-03-20,6,2
"cases","AB","Calgary",2020-03-21,160,26
"cases","AB","Central",2020-03-21,6,2
"cases","AB","Edmonton",2020-03-21,57,4
"cases","AB","North",2020-03-21,15,2
"cases","AB","Not Reported",2020-03-21,0,0
"cases","AB","South",2020-03-21,7,1
"cases","AB","Calgary",2020-03-22,193,33
"cases","AB","Central",2020-03-22,11,5
