"province","date","value","value_daily"
"AB",2020-03-06,1,1
"AB",2020-03-07,1,0
"AB",2020-03-08,1,0
"AB",2020-03-09,7,6
"AB",2020-03-10,16,9
"AB",2020-03-11,23,7
"AB",2020-03-12,26,3
"AB",2020-03-13,34,8
"AB",2020-03-14,56,22
"AB",2020-03-15,67,11
"AB",2020-03-16,91,24
"AB",2020-03-17,102,11
"AB",2020-03-18,131,29
"AB",2020-03-19,163,32
"AB",2020-03-20,210,47
"AB",2020-03-21,245,35
"AB",2020-03-22,292,47
"AB",2020-03-23,345,53
"AB",2020-03-24,413,68
"AB",2020-03-25,476,63
"AB",2020-03-26,529,53
"AB",2020-03-27,614,85
"AB",2020-03-28,668,54
"AB",2020-03-29,702,34
"AB",2020-03-30,742,40
"AB",2020-03-31,874,132
"AB",2020-04-01,982,108
"AB",2020-04-02,1104,122
"AB",2020-04-03,1175,71
"AB",2020-04-04,1235,60
"AB",2020-04-05,1277,42
"AB",2020-04-06,1311,34
"AB",2020-04-07,1364,53
"AB",2020-04-08,1397,33
"AB",2020-04-09,1442,45
"AB",2020-04-10,1491,49
"AB",2020-04-11,1556,65
"AB",2020-04-12,1624,68
"AB",2020-04-13,1692,68
"AB",2020-04-14,1819,127
"AB",2020-04-15,1952,133
"AB",2020-04-16,2098,146
"AB",2020-04-17,2311,213
"AB",2020-04-18,2498,187
"AB",2020-04-19,2699,201
"AB",2020-04-20,2882,183
"AB",2020-04-21,3146,264
"AB",2020-04-22,3440,294
"AB",2020-04-23,3780,340
"AB",2020-04-24,4012,232
"AB",2020-04-25,4234,222
"AB",2020-04-26,4437,203
"AB",2020-04-27,4615,178
"AB",2020-04-28,4864,249
"AB",2020-04-29,5095,231
"AB",2020-04-30,5317,222
"AB",2020-05-01,5458,141
"AB",2020-05-02,5570,112
"AB",2020-05-03,5640,70
"AB",2020-05-04,5719,79
"AB",2020-05-05,5781,62
"AB",2020-05-06,5846,65
"AB",2020-05-07,5933,87
"AB",2020-05-08,6010,77
"AB",2020-05-09,6095,85
"AB",2020-05-10,6166,71
"AB",2020-05-11,6213,47
"AB",2020-05-12,6283,70
"AB",2020-05-13,6345,62
"AB",2020-05-14,6406,61
"AB",2020-05-15,6479,73
"AB",2020-05-16,6533,54
"AB",2020-05-17,6579,46
"AB",2020-05-18,6617,38
"AB",2020-05-19,6660,43
"AB",2020-05-20,6687,27
"AB",2020-05-21,6717,30
"AB",2020-05-22,6744,27
"AB",2020-05-23,6776,32
"AB",2020-05-24,6805,29
"AB",2020-05-25,6818,13
"AB",2020-05-26,6837,19
"AB",2020-05-27,6864,27
"AB",2020-05-28,6892,28
"AB",2020-05-29,6922,30
"AB",2020-05-30,6942,20
"AB",2020-05-31,6976,34
"AB",2020-06-01,6997,21
"AB",2020-06-02,7016,19
"AB",2020-06-03,7034,18
"AB",2020-06-04,7053,19
"AB",2020-06-05,7090,37
"AB",2020-06-06,7113,23
"AB",2020-06-07,7146,33
"AB",2020-06-08,7170,24
"AB",2020-06-09,7208,38
"AB",2020-06-10,7256,48
"AB",2020-06-11,7299,43
"AB",2020-06-12,7326,27
"AB",2020-06-13,7361,35
"AB",2020-06-14,7414,53
"AB",2020-06-15,7450,36
"AB",2020-06-16,7495,45
"AB",2020-06-17,7541,46
"AB",2020-06-18,7587,46
"AB",2020-06-19,7634,47
"AB",2020-06-20,7664,30
"AB",2020-06-21,7697,33
"AB",2020-06-22,7738,41
"AB",2020-06-23,7783,45
