"province","date","value","value_daily"
"AB",2020-03-08,0,0
"AB",2020-03-09,0,0
"AB",2020-03-10,0,0
"AB",2020-03-11,0,0
"AB",2020-03-12,0,0
"AB",2020-03-13,0,0
"AB",2020-03-14,0,0
"AB",2020-03-15,0,0
"AB",2020-03-16,0,0
"AB",2020-03-17,0,0
"AB",2020-03-18,0,0
"AB",2020-03-19,1,1
"AB",2020-03-20,1,0
"AB",2020-03-21,1,0
"AB",2020-03-22,1,0
"AB",2020-03-23,1,0
"AB",2020-03-24,2,1
"AB",2020-03-25,2,0
"AB",2020-03-26,2,0
"AB",2020-03-27,2,0
"AB",2020-03-28,2,0
"AB",2020-03-29,3,1
"AB",2020-03-30,8,5
"AB",2020-03-31,9,1
"AB",2020-04-01,11,2
"AB",2020-04-02,13,2
"AB",2020-04-03,18,5
"AB",2020-04-04,20,2
"AB",2020-04-05,23,3
"AB",2020-04-06,24,1
"AB",2020-04-07,26,2
"AB",2020-04-08,29,3
"AB",2020-04-09,32,3
"AB",2020-04-10,39,7
"AB",2020-04-11,40,1
"AB",2020-04-12,44,4
"AB",2020-04-13,46,2
"AB",2020-04-14,48,2
"AB",2020-04-15,48,0
"AB",2020-04-16,50,2
"AB",2020-04-17,50,0
"AB",2020-04-18,51,1
"AB",2020-04-19,55,4
"AB",2020-04-20,59,4
"AB",2020-04-21,61,2
"AB",2020-04-22,66,5
"AB",2020-04-23,68,2
"AB",2020-04-24,72,4
"AB",2020-04-25,73,1
"AB",2020-04-26,73,0
"AB",2020-04-27,75,2
"AB",2020-04-28,80,5
"AB",2020-04-29,87,7
"AB",2020-04-30,89,2
"AB",2020-05-01,92,3
"AB",2020-05-02,94,2
"AB",2020-05-03,95,1
"AB",2020-05-04,104,9
"AB",2020-05-05,106,2
"AB",2020-05-06,112,6
"AB",2020-05-07,114,2
"AB",2020-05-08,115,1
"AB",2020-05-09,116,1
"AB",2020-05-10,117,1
"AB",2020-05-11,117,0
"AB",2020-05-12,118,1
"AB",2020-05-13,120,2
"AB",2020-05-14,121,1
"AB",2020-05-15,125,4
"AB",2020-05-16,126,1
"AB",2020-05-17,127,1
"AB",2020-05-18,128,1
"AB",2020-05-19,128,0
"AB",2020-05-20,128,0
"AB",2020-05-21,132,4
"AB",2020-05-22,134,2
"AB",2020-05-23,135,1
"AB",2020-05-24,135,0
"AB",2020-05-25,138,3
"AB",2020-05-26,139,1
"AB",2020-05-27,141,2
"AB",2020-05-28,143,2
"AB",2020-05-29,143,0
"AB",2020-05-30,143,0
"AB",2020-05-31,143,0
"AB",2020-06-01,143,0
"AB",2020-06-02,143,0
"AB",2020-06-03,145,2
"AB",2020-06-04,146,1
"AB",2020-06-05,146,0
"AB",2020-06-06,146,0
"AB",2020-06-07,146,0
"AB",2020-06-08,148,2
"AB",2020-06-09,149,1
"AB",2020-06-10,149,0
"AB",2020-06-11,149,0
"AB",2020-06-12,149,0
"AB",2020-06-13,150,1
"AB",2020-06-14,150,0
"AB",2020-06-15,151,1
"AB",2020-06-16,151,0
"AB",2020-06-17,151,0
"AB",2020-06-18,152,1
"AB",2020-06-19,152,0
"AB",2020-06-20,152,0
"AB",2020-06-21,152,0
"AB",2020-06-22,153,1
"AB",2020-06-23,153,0
"AB",2020-06-24,153,0
"AB",2020-06-25,154,1
"AB",2020-06-26,154,0
"AB",2020-06-27,154,0
"AB",2020-06-28,154,0
"AB",2020-06-29,154,0
"AB",2020-06-30,154,0
"AB",2020-07-01,154,0
"AB",2020-07-02,155,1
"AB",2020-07-03,155,0
"AB",2020-07-04,155,0
"AB",2020-07-05,155,0
"AB",2020-07-06,155,0
"AB",2020-07-07,157,2
"AB",2020-07-08,158,1
"AB",2020-07-09,160,2
"AB",2020-07-10,160,0
"AB",2020-07-11,160,0
"AB",2020-07-12,160,0
"AB",2020-07-13,161,1
"AB",2020-07-14,163,2
"AB",2020-07-15,163,0
"AB",2020-07-16,165,2
"AB",2020-07-17,167,2
"AB",2020-07-18,167,0
"AB",2020-07-19,167,0
"AB",2020-07-20,170,3
"AB",2020-07-21,171,1
"AB",2020-07-22,173,2
"AB",2020-07-23,175,2
"AB",2020-07-24,177,2
"AB",2020-07-25,177,0
"AB",2020-07-26,177,0
"AB",2020-07-27,185,8
"AB",2020-07-28,187,2
"AB",2020-07-29,190,3
"AB",2020-07-30,195,5
"AB",2020-07-31,196,1
"AB",2020-08-01,196,0
"AB",2020-08-02,196,0
"AB",2020-08-03,196,0
"AB",2020-08-04,201,5
"AB",2020-08-05,203,2
"AB",2020-08-06,205,2
"AB",2020-08-07,208,3
"AB",2020-08-08,208,0
"AB",2020-08-09,208,0
"AB",2020-08-10,213,5
"AB",2020-08-11,216,3
"AB",2020-08-12,217,1
"AB",2020-08-13,220,3
"AB",2020-08-14,221,1
"AB",2020-08-15,221,0
"AB",2020-08-16,221,0
"AB",2020-08-17,224,3
"AB",2020-08-18,225,1
"AB",2020-08-19,227,2
"AB",2020-08-20,228,1
"AB",2020-08-21,230,2
"AB",2020-08-22,230,0
"AB",2020-08-23,230,0
"AB",2020-08-24,234,4
"AB",2020-08-25,235,1
"AB",2020-08-26,235,0
"AB",2020-08-27,237,2
"AB",2020-08-28,237,0
"AB",2020-08-29,237,0
"AB",2020-08-30,237,0
"AB",2020-08-31,239,2
"AB",2020-09-01,241,2
"AB",2020-09-02,242,1
"AB",2020-09-03,242,0
"AB",2020-09-04,242,0
"AB",2020-09-05,242,0
"AB",2020-09-06,242,0
"AB",2020-09-07,242,0
"AB",2020-09-08,247,5
"AB",2020-09-09,248,1
"AB",2020-09-10,253,5
"AB",2020-09-11,253,0
"AB",2020-09-12,253,0
"AB",2020-09-13,253,0
"AB",2020-09-14,254,1
"AB",2020-09-15,254,0
"AB",2020-09-16,254,0
"AB",2020-09-17,254,0
"AB",2020-09-18,255,1
"AB",2020-09-19,255,0
"AB",2020-09-20,255,0
"AB",2020-09-21,256,1
"AB",2020-09-22,258,2
"AB",2020-09-23,260,2
"AB",2020-09-24,261,1
"AB",2020-09-25,261,0
"AB",2020-09-26,261,0
"AB",2020-09-27,261,0
"AB",2020-09-28,265,4
"AB",2020-09-29,266,1
"AB",2020-09-30,267,1
"AB",2020-10-01,269,2
"AB",2020-10-02,272,3
"AB",2020-10-03,272,0
"AB",2020-10-04,272,0
"AB",2020-10-05,280,8
"AB",2020-10-06,281,1
"AB",2020-10-07,281,0
"AB",2020-10-08,282,1
"AB",2020-10-09,282,0
"AB",2020-10-10,282,0
"AB",2020-10-11,282,0
"AB",2020-10-12,282,0
"AB",2020-10-13,286,4
"AB",2020-10-14,287,1
"AB",2020-10-15,288,1
