"name","province","sub_region_1","date","value","value_daily"
"mortality","AB","Calgary",2020-03-08,0,0
"mortality","AB","Central",2020-03-08,0,0
"mortality","AB","Edmonton",2020-03-08,0,0
"mortality","AB","North",2020-03-08,0,0
"mortality","AB","Not Reported",2020-03-08,0,0
"mortality","AB","South",2020-03-08,0,0
"mortality","AB","Calgary",2020-03-09,0,0
"mortality","AB","Central",2020-03-09,0,0
"mortality","AB","Edmonton",2020-03-09,0,0
"mortality","AB","North",2020-03-09,0,0
"mortality","AB","Not Reported",2020-03-09,0,0
"mortality","AB","South",2020-03-09,0,0
"mortality","AB","Calgary",2020-03-10,0,0
"mortality","AB","Central",2020-03-10,0,0
"mortality","AB","Edmonton",2020-03-10,0,0
"mortality","AB","North",2020-03-10,0,0
"mortality","AB","Not Reported",2020-03-10,0,0
"mortality","AB","South",2020-03-10,0,0
"mortality","AB","Calgary",2020-03-11,0,0
"mortality","AB","Central",2020-03-11,0,0
"mortality","AB","Edmonton",2020-03-11,0,0
"mortality","AB","North",2020-03-11,0,0
"mortality","AB","Not Reported",2020-03-11,0,0
"mortality","AB","South",2020-03-11,0,0
"mortality","AB","Calgary",2020-03-12,0,0
"mortality","AB","Central",2020-03-12,0,0
"mortality","AB","Edmonton",2020-03-12,0,0
"mortality","AB","North",2020-03-12,0,0
"mortality","AB","Not Reported",2020-03-12,0,0
"mortality","AB","South",2020-03-12,0,0
"mortality","AB","Calgary",2020-03-13,0,0
"mortality","AB","Central",2020-03-13,0,0
"mortality","AB","Edmonton",2020-03-13,0,0
"mortality","AB","North",2020-03-13,0,0
"mortality","AB","Not Reported",2020-03-13,0,0
"mortality","AB","South",2020-03-13,0,0
"mortality","AB","Calgary",2020-03-14,0,0
"mortality","AB","Central",2020-03-14,0,0
"mortality","AB","Edmonton",2020-03-14,0,0
"mortality","AB","North",2020-03-14,0,0
"mortality","AB","Not Reported",2020-03-14,0,0
"mortality","AB","South",2020-03-14,0,0
"mortality","AB","Calgary",2020-03-15,0,0
"mortality","AB","Central",2020-03-15,0,0
"mortality","AB","Edmonton",2020-03-15,0,0
"mortality","AB","North",2020-03-15,0,0
"mortality","AB","Not Reported",2020-03-15,0,0
"mortality","AB","South",2020-03-15,0,0
"mortality","AB","Calgary",2020-03-16,0,0
"mortality","AB","Central",2020-03-16,0,0
"mortality","AB","Edmonton",2020-03-16,0,0
"mortality","AB","North",2020-03-16,0,0
"mortality","AB","Not Reported",2020-03-16,0,0
"mortality","AB","South",2020-03-16,0,0
"mortality","AB","Calgary",2020-03-17,0,0
"mortality","AB","Central",2020-03-17,0,0
"mortality","AB","Edmonton",2020-03-17,0,0
"mortality","AB","North",2020-03-17,0,0
"mortality","AB","Not Reported",2020-03-17,0,0
"mortality","AB","South",2020-03-17,0,0
"mortality","AB","Calgary",2020-03-18,0,0
"mortality","AB","Central",2020-03-18,0,0
"mortality","AB","Edmonton",2020-03-18,0,0
"mortality","AB","North",2020-03-18,0,0
"mortality","AB","Not Reported",2020-03-18,0,0
"mortality","AB","South",2020-03-18,0,0
"mortality","AB","Calgary",2020-03-19,0,0
"mortality","AB","Central",2020-03-19,0,0
"mortality","AB","Edmonton",2020-03-19,1,1
"mortality","AB","North",2020-03-19,0,0
"mortality","AB","Not Reported",2020-03-19,0,0
"mortality","AB","South",2020-03-19,0,0
"mortality","AB","Calgary",2020-03-20,0,0
"mortality","AB","Central",2020-03-20,0,0
"mortality","AB","Edmonton",2020-03-20,1,0
"mortality","AB","North",2020-03-20,0,0
"mortality","AB","Not Reported",2020-03-20,0,0
"mortality","AB","South",2020-03-20,0,0
"mortality","AB","Calgary",2020-03-21,0,0
"mortality","AB","Central",2020-03-21,0,0
"mortality","AB","Edmonton",2020-03-21,1,0
"mortality","AB","North",2020-03-21,0,0
"mortality","AB","Not Reported",2020-03-21,0,0
"mortality","AB","South",2020-03-21,0,0
"mortality","AB","Calgary",2020-03-22,0,0
"mortality","AB","Central",2020-03-22,0,0
"mortality","AB","Edmonton",2020-03-22,1,0
"mortality","AB","North",2020-03-22,0,0
"mortality","AB","Not Reported",2020-03-22,0,0
"mortality","AB","South",2020-03-22,0,0
"mortality","AB","Calgary",2020-03-23,0,0
"mortality","AB","Central",2020-03-23,0,0
"mortality","AB","Edmonton",2020-03-23,1,0
"mortality","AB","North",2020-03-23,0,0
"mortality","AB","Not Reported",2020-03-23,0,0
"mortality","AB","South",2020-03-23,0,0
"mortality","AB","Calgary",2020-03-24,1,1
"mortality","AB","Central",2020-03-24,0,0
"mortality","AB","Edmonton",2020-03-24,1,0
"mortality","AB","North",2020-03-24,0,0
"mortality","AB","Not Reported",2020-03-24,0,0
"mortality","AB","South",2020-03-24,0,0
"mortality","AB","Calgary",2020-03-25,1,0
"mortality","AB","Central",2020-03-25,0,0
"mortality","AB","Edmonton",2020-03-25,1,0
"mortality","AB","North",2020-03-25,0,0
"mortality","AB","Not Reported",2020-03-25,0,0
"mortality","AB","South",2020-03-25,0,0
"mortality","AB","Calgary",2020-03-26,1,0
"mortality","AB","Central",2020-03-26,0,0
"mortality","AB","Edmonton",2020-03-26,1,0
"mortality","AB","North",2020-03-26,0,0
"mortality","AB","Not Reported",2020-03-26,0,0
"mortality","AB","South",2020-03-26,0,0
"mortality","AB","Calgary",2020-03-27,1,0
"mortality","AB","Central",2020-03-27,0,0
"mortality","AB","Edmonton",2020-03-27,1,0
"mortality","AB","North",2020-03-27,0,0
"mortality","AB","Not Reported",2020-03-27,0,0
"mortality","AB","South",2020-03-27,0,0
"mortality","AB","Calgary",2020-03-28,1,0
"mortality","AB","Central",2020-03-28,0,0
"mortality","AB","Edmonton",2020-03-28,1,0
"mortality","AB","North",2020-03-28,0,0
"mortality","AB","Not Reported",2020-03-28,0,0
"mortality","AB","South",2020-03-28,0,0
"mortality","AB","Calgary",2020-03-29,2,1
"mortality","AB","Central",2020-03-29,0,0
"mortality","AB","Edmonton",2020-03-29,1,0
"mortality","AB","North",2020-03-29,0,0
"mortality","AB","Not Reported",2020-03-29,0,0
"mortality","AB","South",2020-03-29,0,0
"mortality","AB","Calgary",2020-03-30,4,2
"mortality","AB","Central",2020-03-30,0,0
"mortality","AB","Edmonton",2020-03-30,3,2
"mortality","AB","North",2020-03-30,1,1
"mortality","AB","Not Reported",2020-03-30,0,0
"mortality","AB","South",2020-03-30,0,0
"mortality","AB","Calgary",2020-03-31,5,1
"mortality","AB","Central",2020-03-31,0,0
"mortality","AB","Edmonton",2020-03-31,3,0
"mortality","AB","North",2020-03-31,1,0
"mortality","AB","Not Reported",2020-03-31,0,0
"mortality","AB","South",2020-03-31,0,0
"mortality","AB","Calgary",2020-04-01,6,1
"mortality","AB","Central",2020-04-01,0,0
"mortality","AB","Edmonton",2020-04-01,3,0
"mortality","AB","North",2020-04-01,2,1
"mortality","AB","Not Reported",2020-04-01,0,0
"mortality","AB","South",2020-04-01,0,0
"mortality","AB","Calgary",2020-04-02,7,1
"mortality","AB","Central",2020-04-02,0,0
"mortality","AB","Edmonton",2020-04-02,3,0
"mortality","AB","North",2020-04-02,3,1
"mortality","AB","Not Reported",2020-04-02,0,0
"mortality","AB","South",2020-04-02,0,0
"mortality","AB","Calgary",2020-04-03,11,4
"mortality","AB","Central",2020-04-03,0,0
"mortality","AB","Edmonton",2020-04-03,4,1
"mortality","AB","North",2020-04-03,3,0
"mortality","AB","Not Reported",2020-04-03,0,0
"mortality","AB","South",2020-04-03,0,0
"mortality","AB","Calgary",2020-04-04,13,2
"mortality","AB","Central",2020-04-04,0,0
"mortality","AB","Edmonton",2020-04-04,4,0
"mortality","AB","North",2020-04-04,3,0
"mortality","AB","Not Reported",2020-04-04,0,0
"mortality","AB","South",2020-04-04,0,0
"mortality","AB","Calgary",2020-04-05,14,1
"mortality","AB","Central",2020-04-05,1,1
"mortality","AB","Edmonton",2020-04-05,4,0
"mortality","AB","North",2020-04-05,4,1
"mortality","AB","Not Reported",2020-04-05,0,0
"mortality","AB","South",2020-04-05,0,0
"mortality","AB","Calgary",2020-04-06,15,1
"mortality","AB","Central",2020-04-06,1,0
"mortality","AB","Edmonton",2020-04-06,4,0
"mortality","AB","North",2020-04-06,4,0
"mortality","AB","Not Reported",2020-04-06,0,0
"mortality","AB","South",2020-04-06,0,0
"mortality","AB","Calgary",2020-04-07,17,2
"mortality","AB","Central",2020-04-07,1,0
"mortality","AB","Edmonton",2020-04-07,4,0
"mortality","AB","North",2020-04-07,4,0
"mortality","AB","Not Reported",2020-04-07,0,0
"mortality","AB","South",2020-04-07,0,0
"mortality","AB","Calgary",2020-04-08,20,3
"mortality","AB","Central",2020-04-08,1,0
"mortality","AB","Edmonton",2020-04-08,4,0
"mortality","AB","North",2020-04-08,4,0
"mortality","AB","Not Reported",2020-04-08,0,0
"mortality","AB","South",2020-04-08,0,0
"mortality","AB","Calgary",2020-04-09,22,2
"mortality","AB","Central",2020-04-09,1,0
"mortality","AB","Edmonton",2020-04-09,5,1
"mortality","AB","North",2020-04-09,4,0
"mortality","AB","Not Reported",2020-04-09,0,0
"mortality","AB","South",2020-04-09,0,0
"mortality","AB","Calgary",2020-04-10,26,4
"mortality","AB","Central",2020-04-10,1,0
"mortality","AB","Edmonton",2020-04-10,7,2
"mortality","AB","North",2020-04-10,5,1
"mortality","AB","Not Reported",2020-04-10,0,0
"mortality","AB","South",2020-04-10,0,0
"mortality","AB","Calgary",2020-04-11,27,1
"mortality","AB","Central",2020-04-11,1,0
"mortality","AB","Edmonton",2020-04-11,7,0
"mortality","AB","North",2020-04-11,5,0
"mortality","AB","Not Reported",2020-04-11,0,0
"mortality","AB","South",2020-04-11,0,0
"mortality","AB","Calgary",2020-04-12,30,3
"mortality","AB","Central",2020-04-12,1,0
"mortality","AB","Edmonton",2020-04-12,7,0
"mortality","AB","North",2020-04-12,6,1
"mortality","AB","Not Reported",2020-04-12,0,0
"mortality","AB","South",2020-04-12,0,0
"mortality","AB","Calgary",2020-04-13,32,2
"mortality","AB","Central",2020-04-13,1,0
"mortality","AB","Edmonton",2020-04-13,7,0
"mortality","AB","North",2020-04-13,6,0
"mortality","AB","Not Reported",2020-04-13,0,0
"mortality","AB","South",2020-04-13,0,0
"mortality","AB","Calgary",2020-04-14,33,1
"mortality","AB","Central",2020-04-14,1,0
"mortality","AB","Edmonton",2020-04-14,8,1
"mortality","AB","North",2020-04-14,6,0
"mortality","AB","Not Reported",2020-04-14,0,0
"mortality","AB","South",2020-04-14,0,0
"mortality","AB","Calgary",2020-04-15,33,0
"mortality","AB","Central",2020-04-15,1,0
"mortality","AB","Edmonton",2020-04-15,8,0
"mortality","AB","North",2020-04-15,6,0
"mortality","AB","Not Reported",2020-04-15,0,0
"mortality","AB","South",2020-04-15,0,0
"mortality","AB","Calgary",2020-04-16,34,1
"mortality","AB","Central",2020-04-16,1,0
"mortality","AB","Edmonton",2020-04-16,8,0
"mortality","AB","North",2020-04-16,7,1
"mortality","AB","Not Reported",2020-04-16,0,0
"mortality","AB","South",2020-04-16,0,0
"mortality","AB","Calgary",2020-04-17,34,0
"mortality","AB","Central",2020-04-17,1,0
"mortality","AB","Edmonton",2020-04-17,8,0
"mortality","AB","North",2020-04-17,7,0
"mortality","AB","Not Reported",2020-04-17,0,0
"mortality","AB","South",2020-04-17,0,0
"mortality","AB","Calgary",2020-04-18,35,1
"mortality","AB","Central",2020-04-18,1,0
"mortality","AB","Edmonton",2020-04-18,8,0
"mortality","AB","North",2020-04-18,7,0
"mortality","AB","Not Reported",2020-04-18,0,0
"mortality","AB","South",2020-04-18,0,0
"mortality","AB","Calgary",2020-04-19,38,3
"mortality","AB","Central",2020-04-19,1,0
"mortality","AB","Edmonton",2020-04-19,8,0
"mortality","AB","North",2020-04-19,8,1
"mortality","AB","Not Reported",2020-04-19,0,0
"mortality","AB","South",2020-04-19,0,0
"mortality","AB","Calgary",2020-04-20,40,2
"mortality","AB","Central",2020-04-20,1,0
"mortality","AB","Edmonton",2020-04-20,9,1
"mortality","AB","North",2020-04-20,9,1
"mortality","AB","Not Reported",2020-04-20,0,0
"mortality","AB","South",2020-04-20,0,0
"mortality","AB","Calgary",2020-04-21,41,1
"mortality","AB","Central",2020-04-21,1,0
"mortality","AB","Edmonton",2020-04-21,9,0
"mortality","AB","North",2020-04-21,10,1
"mortality","AB","Not Reported",2020-04-21,0,0
"mortality","AB","South",2020-04-21,0,0
"mortality","AB","Calgary",2020-04-22,42,1
"mortality","AB","Central",2020-04-22,1,0
"mortality","AB","Edmonton",2020-04-22,9,0
"mortality","AB","North",2020-04-22,14,4
"mortality","AB","Not Reported",2020-04-22,0,0
"mortality","AB","South",2020-04-22,0,0
"mortality","AB","Calgary",2020-04-23,42,0
"mortality","AB","Central",2020-04-23,1,0
"mortality","AB","Edmonton",2020-04-23,9,0
"mortality","AB","North",2020-04-23,14,0
"mortality","AB","Not Reported",2020-04-23,0,0
"mortality","AB","South",2020-04-23,2,2
"mortality","AB","Calgary",2020-04-24,45,3
"mortality","AB","Central",2020-04-24,1,0
"mortality","AB","Edmonton",2020-04-24,10,1
"mortality","AB","North",2020-04-24,14,0
"mortality","AB","Not Reported",2020-04-24,0,0
"mortality","AB","South",2020-04-24,2,0
"mortality","AB","Calgary",2020-04-25,46,1
"mortality","AB","Central",2020-04-25,1,0
"mortality","AB","Edmonton",2020-04-25,10,0
"mortality","AB","North",2020-04-25,14,0
"mortality","AB","Not Reported",2020-04-25,0,0
"mortality","AB","South",2020-04-25,2,0
"mortality","AB","Calgary",2020-04-26,46,0
"mortality","AB","Central",2020-04-26,1,0
"mortality","AB","Edmonton",2020-04-26,10,0
"mortality","AB","North",2020-04-26,14,0
"mortality","AB","Not Reported",2020-04-26,0,0
"mortality","AB","South",2020-04-26,2,0
"mortality","AB","Calgary",2020-04-27,48,2
"mortality","AB","Central",2020-04-27,1,0
"mortality","AB","Edmonton",2020-04-27,10,0
"mortality","AB","North",2020-04-27,14,0
"mortality","AB","Not Reported",2020-04-27,0,0
"mortality","AB","South",2020-04-27,2,0
"mortality","AB","Calgary",2020-04-28,50,2
"mortality","AB","Central",2020-04-28,1,0
"mortality","AB","Edmonton",2020-04-28,11,1
"mortality","AB","North",2020-04-28,14,0
"mortality","AB","Not Reported",2020-04-28,0,0
"mortality","AB","South",2020-04-28,4,2
"mortality","AB","Calgary",2020-04-29,57,7
"mortality","AB","Central",2020-04-29,1,0
"mortality","AB","Edmonton",2020-04-29,11,0
"mortality","AB","North",2020-04-29,14,0
"mortality","AB","Not Reported",2020-04-29,0,0
"mortality","AB","South",2020-04-29,4,0
"mortality","AB","Calgary",2020-04-30,57,0
"mortality","AB","Central",2020-04-30,1,0
"mortality","AB","Edmonton",2020-04-30,12,1
"mortality","AB","North",2020-04-30,14,0
"mortality","AB","Not Reported",2020-04-30,0,0
"mortality","AB","South",2020-04-30,5,1
"mortality","AB","Calgary",2020-05-01,59,2
"mortality","AB","Central",2020-05-01,1,0
"mortality","AB","Edmonton",2020-05-01,12,0
"mortality","AB","North",2020-05-01,15,1
"mortality","AB","Not Reported",2020-05-01,0,0
"mortality","AB","South",2020-05-01,5,0
"mortality","AB","Calgary",2020-05-02,61,2
"mortality","AB","Central",2020-05-02,1,0
"mortality","AB","Edmonton",2020-05-02,12,0
"mortality","AB","North",2020-05-02,15,0
"mortality","AB","Not Reported",2020-05-02,0,0
"mortality","AB","South",2020-05-02,5,0
"mortality","AB","Calgary",2020-05-03,62,1
"mortality","AB","Central",2020-05-03,1,0
"mortality","AB","Edmonton",2020-05-03,12,0
"mortality","AB","North",2020-05-03,15,0
"mortality","AB","Not Reported",2020-05-03,0,0
"mortality","AB","South",2020-05-03,5,0
"mortality","AB","Calgary",2020-05-04,70,8
"mortality","AB","Central",2020-05-04,1,0
"mortality","AB","Edmonton",2020-05-04,12,0
"mortality","AB","North",2020-05-04,15,0
"mortality","AB","Not Reported",2020-05-04,0,0
"mortality","AB","South",2020-05-04,6,1
"mortality","AB","Calgary",2020-05-05,72,2
"mortality","AB","Central",2020-05-05,1,0
"mortality","AB","Edmonton",2020-05-05,12,0
"mortality","AB","North",2020-05-05,15,0
"mortality","AB","Not Reported",2020-05-05,0,0
"mortality","AB","South",2020-05-05,6,0
"mortality","AB","Calgary",2020-05-06,78,6
"mortality","AB","Central",2020-05-06,1,0
"mortality","AB","Edmonton",2020-05-06,12,0
"mortality","AB","North",2020-05-06,15,0
"mortality","AB","Not Reported",2020-05-06,0,0
"mortality","AB","South",2020-05-06,6,0
"mortality","AB","Calgary",2020-05-07,80,2
"mortality","AB","Central",2020-05-07,1,0
"mortality","AB","Edmonton",2020-05-07,12,0
"mortality","AB","North",2020-05-07,15,0
"mortality","AB","Not Reported",2020-05-07,0,0
"mortality","AB","South",2020-05-07,6,0
"mortality","AB","Calgary",2020-05-08,81,1
"mortality","AB","Central",2020-05-08,1,0
"mortality","AB","Edmonton",2020-05-08,12,0
"mortality","AB","North",2020-05-08,15,0
"mortality","AB","Not Reported",2020-05-08,0,0
"mortality","AB","South",2020-05-08,6,0
"mortality","AB","Calgary",2020-05-09,82,1
"mortality","AB","Central",2020-05-09,1,0
"mortality","AB","Edmonton",2020-05-09,12,0
"mortality","AB","North",2020-05-09,15,0
"mortality","AB","Not Reported",2020-05-09,0,0
"mortality","AB","South",2020-05-09,6,0
"mortality","AB","Calgary",2020-05-10,82,0
"mortality","AB","Central",2020-05-10,1,0
"mortality","AB","Edmonton",2020-05-10,12,0
"mortality","AB","North",2020-05-10,15,0
"mortality","AB","Not Reported",2020-05-10,0,0
"mortality","AB","South",2020-05-10,7,1
"mortality","AB","Calgary",2020-05-11,82,0
"mortality","AB","Central",2020-05-11,1,0
"mortality","AB","Edmonton",2020-05-11,12,0
"mortality","AB","North",2020-05-11,15,0
"mortality","AB","Not Reported",2020-05-11,0,0
"mortality","AB","South",2020-05-11,7,0
"mortality","AB","Calgary",2020-05-12,83,1
