"date","source","date_start","date_end","region","sub_region_1","cases","cases_weekly","cumulative_cases_since_2023-08-27","cumulative_cases_since_2023-08-27_weekly_diff","deaths","deaths_weekly","cumulative_deaths_since_2023-08-27","cumulative_deaths_since_2023-08-27_weekly_diff","new_hospitalizations","new_hospitalizations_weekly","cumulative_new_hospitalizations_since_2023-08-27","cumulative_new_hospitalizations_since_2023-08-27_weekly_diff","new_icu","new_icu_weekly","cumulative_new_icu_since_2023-08-27","cumulative_new_icu_since_2023-08-27_weekly_diff","percent_positivity_weekly","cumulative_percent_positivity_since_2023-08-27","notes"
"2023-09-13","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week-35.pdf","2023-08-27","2023-09-02","NB",,95,95,95,,0,0,0,,44,44,44,,1,1,1,,14,14,
"2023-09-13","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week-35.pdf","2023-08-27","2023-09-02","NB","Zone 1",29,29,29,,,,,,,,,,,,,,14,14,
"2023-09-13","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week-35.pdf","2023-08-27","2023-09-02","NB","Zone 2",23,23,23,,,,,,,,,,,,,,22,22,
"2023-09-13","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week-35.pdf","2023-08-27","2023-09-02","NB","Zone 3",10,10,10,,,,,,,,,,,,,,7,7,
"2023-09-13","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week-35.pdf","2023-08-27","2023-09-02","NB","Zone 4",0,0,0,,,,,,,,,,,,,,0,0,
"2023-09-13","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week-35.pdf","2023-08-27","2023-09-02","NB","Zone 5",1,1,1,,,,,,,,,,,,,,7,7,
"2023-09-13","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week-35.pdf","2023-08-27","2023-09-02","NB","Zone 6",24,24,24,,,,,,,,,,,,,,21,21,
"2023-09-13","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week-35.pdf","2023-08-27","2023-09-02","NB","Zone 7",8,8,8,,,,,,,,,,,,,,19,19,
"2023-09-26","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week36-37.pdf","2023-09-03","2023-09-16","NB",,187,187,282,187,,,,,,,,,,,,,13,14,Two weeks of data were reported this week due to last week's report being skipped. Case data and zone-level percent positivity data were reported only for both weeks combined.
"2023-09-26","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week36-37.pdf","2023-09-03","2023-09-16","NB","Zone 1",61,61,90,61,,,,,,,,,,,,,13,14,
"2023-09-26","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week36-37.pdf","2023-09-03","2023-09-16","NB","Zone 2",53,53,76,53,,,,,,,,,,,,,21,21,
"2023-09-26","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week36-37.pdf","2023-09-03","2023-09-16","NB","Zone 3",31,31,41,31,,,,,,,,,,,,,8,7,
"2023-09-26","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week36-37.pdf","2023-09-03","2023-09-16","NB","Zone 4",4,4,4,4,,,,,,,,,,,,,6,4,
"2023-09-26","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week36-37.pdf","2023-09-03","2023-09-16","NB","Zone 5",4,4,5,4,,,,,,,,,,,,,12,10,
"2023-09-26","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week36-37.pdf","2023-09-03","2023-09-16","NB","Zone 6",23,23,47,23,,,,,,,,,,,,,17,19,
"2023-09-26","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week36-37.pdf","2023-09-03","2023-09-16","NB","Zone 7",11,11,19,11,,,,,,,,,,,,,15,16,
"2023-09-26","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week36-37.pdf","2023-09-03","2023-09-09","NB",,,,,,4,4,,,40,40,,,2,2,,,13,,Two weeks of data were reported this week due to last week's report being skipped. Province-level death, hospitalization, ICU, and percent positivity data were reported separately for each week. For hospitalizations, the cumulative number reported over the respiratory season did not match the sum of the weekly values (137 != 44 + 40 + 51 = 135), so the missing two hospitalizations were added to the most recent week of data (2023-09-03 to 2023-09-09), as are typically done for values based on cumulative differences. Death and ICU values did not show this disrepency.
"2023-09-26","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/RespiratoryReport2023-24-Week36-37.pdf","2023-09-10","2023-09-16","NB",,,,,,0,0,4,0,53,51,137,53,3,3,6,3,13,14,Two weeks of data were reported this week due to last week's report being skipped. Province-level death, hospitalization, ICU, and percent positivity data were reported separately for each week. For hospitalizations, the cumulative number reported over the respiratory season did not match the sum of the weekly values (137 != 44 + 40 + 51 = 135), so the missing two hospitalizations were added to the most recent week of data (2023-09-03 to 2023-09-09), as are typically done for values based on cumulative differences. Death and ICU values did not show this disrepency.
"2023-10-04","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-38.pdf","2023-09-17","2023-09-23","NB",,102,102,384,102,2,2,6,2,64,58,201,64,3,2,9,3,14,14,
"2023-10-04","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-38.pdf","2023-09-17","2023-09-23","NB","Zone 1",45,45,135,45,,,,,,,,,,,,,18,15,
"2023-10-04","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-38.pdf","2023-09-17","2023-09-23","NB","Zone 2",21,21,97,21,,,,,,,,,,,,,17,20,
"2023-10-04","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-38.pdf","2023-09-17","2023-09-23","NB","Zone 3",8,8,49,8,,,,,,,,,,,,,5,7,
"2023-10-04","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-38.pdf","2023-09-17","2023-09-23","NB","Zone 4",6,6,10,6,,,,,,,,,,,,,11,6,
"2023-10-04","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-38.pdf","2023-09-17","2023-09-23","NB","Zone 5",7,7,12,7,,,,,,,,,,,,,28,16,
"2023-10-04","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-38.pdf","2023-09-17","2023-09-23","NB","Zone 6",11,11,58,11,,,,,,,,,,,,,16,18,
"2023-10-04","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-38.pdf","2023-09-17","2023-09-23","NB","Zone 7",4,4,23,4,,,,,,,,,,,,,10,15,
"2023-10-11","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-39.pdf","2023-09-24","2023-09-30","NB",,105,105,489,105,3,3,9,3,36,35,237,36,5,5,14,5,12,13,
"2023-10-11","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-39.pdf","2023-09-24","2023-09-30","NB","Zone 1",33,33,168,33,,,,,,,,,,,,,12,14,
"2023-10-11","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-39.pdf","2023-09-24","2023-09-30","NB","Zone 2",18,18,115,18,,,,,,,,,,,,,14,19,
"2023-10-11","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-39.pdf","2023-09-24","2023-09-30","NB","Zone 3",23,23,72,23,,,,,,,,,,,,,11,8,
"2023-10-11","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-39.pdf","2023-09-24","2023-09-30","NB","Zone 4",13,13,23,13,,,,,,,,,,,,,20,10,
"2023-10-11","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-39.pdf","2023-09-24","2023-09-30","NB","Zone 5",5,5,17,5,,,,,,,,,,,,,20,17,
"2023-10-11","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-39.pdf","2023-09-24","2023-09-30","NB","Zone 6",9,9,67,9,,,,,,,,,,,,,13,17,
"2023-10-11","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-39.pdf","2023-09-24","2023-09-30","NB","Zone 7",4,4,27,4,,,,,,,,,,,,,6,12,
